epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.450209,0.397094,0.113692,1.214286,1
2,1.430822,0.397094,0.113692,1.214286,0
3,1.428159,0.397094,0.113692,1.214286,0
4,1.429486,0.397094,0.113692,1.214286,0
5,1.429430,0.397094,0.113692,1.214286,0
6,1.428104,0.397094,0.113692,1.214286,0
7,1.426920,0.397094,0.113692,1.214286,0
8,1.425702,0.397094,0.113692,1.214286,0
9,1.428823,0.397094,0.113692,1.214286,0
10,1.427166,0.397094,0.113692,1.214286,0
11,1.425683,0.397094,0.113692,1.214286,0
