epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.199683,0.593220,0.463252,0.539952,1
2,0.962247,0.621065,0.659771,0.475787,1
3,0.896768,0.653753,0.600672,0.456416,0
4,0.871410,0.673123,0.621434,0.415254,0
5,0.828395,0.700969,0.701944,0.372881,1
6,0.798464,0.646489,0.681324,0.416465,0
7,0.762557,0.705811,0.713977,0.357143,1
8,0.737957,0.684019,0.709524,0.360775,0
9,0.727465,0.669492,0.652451,0.395884,0
10,0.698994,0.684019,0.665572,0.381356,0
11,0.663039,0.687651,0.710368,0.359564,0
12,0.646281,0.687651,0.707515,0.369249,0
13,0.614281,0.691283,0.692743,0.360775,0
14,0.595756,0.691283,0.703071,0.381356,0
15,0.549975,0.692494,0.711529,0.361985,0
16,0.547570,0.673123,0.689358,0.391041,0
17,0.510457,0.679177,0.706498,0.386199,0
