epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.312417,0.594431,0.520366,0.558111,1
2,1.040975,0.644068,0.680391,0.426150,1
3,0.976194,0.657385,0.636965,0.422518,0
4,0.932893,0.667070,0.668042,0.406780,0
5,0.888660,0.684019,0.708460,0.371671,1
6,0.865840,0.665860,0.705900,0.397094,0
7,0.833708,0.675545,0.701455,0.381356,0
8,0.810350,0.670702,0.716771,0.368039,1
9,0.788822,0.669492,0.687841,0.392252,0
10,0.765639,0.677966,0.676816,0.395884,0
11,0.738168,0.647700,0.670448,0.392252,0
12,0.719015,0.674334,0.708450,0.363196,0
13,0.691229,0.671913,0.679284,0.380145,0
14,0.670978,0.676755,0.697655,0.386199,0
15,0.644996,0.674334,0.696134,0.383777,0
16,0.621426,0.669492,0.682926,0.389831,0
17,0.600775,0.670702,0.691283,0.387409,0
18,0.588553,0.671913,0.692643,0.376513,0
