epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.268463,0.592010,0.526405,0.577482,1
2,1.060120,0.665860,0.622379,0.433414,1
3,0.973115,0.647700,0.602444,0.473366,0
4,0.927779,0.676755,0.686481,0.397094,1
5,0.899445,0.667070,0.638904,0.435835,0
6,0.866830,0.670702,0.611509,0.428571,0
7,0.839615,0.665860,0.695669,0.410412,1
8,0.820360,0.664649,0.639395,0.421308,0
9,0.794978,0.674334,0.651635,0.410412,0
10,0.771954,0.647700,0.644445,0.430993,0
11,0.746420,0.648910,0.651697,0.427361,0
12,0.727949,0.647700,0.634969,0.435835,0
13,0.704894,0.644068,0.650279,0.437046,0
14,0.667272,0.662228,0.677320,0.410412,0
15,0.647763,0.651332,0.632989,0.446731,0
16,0.628472,0.641646,0.663716,0.412833,0
17,0.617781,0.641646,0.678771,0.418886,0
