epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.317498,0.561743,0.439256,0.634383,1
2,1.130700,0.627119,0.541978,0.496368,1
3,1.023069,0.639225,0.617472,0.472155,1
4,0.974353,0.661017,0.656655,0.438257,1
5,0.924757,0.659806,0.626091,0.457627,0
6,0.904805,0.674334,0.626782,0.424939,0
7,0.872179,0.674334,0.686758,0.411622,1
8,0.851217,0.675545,0.638891,0.424939,0
9,0.823335,0.674334,0.650461,0.421308,0
10,0.799122,0.661017,0.677702,0.414044,0
11,0.770811,0.642857,0.667915,0.449153,0
12,0.753475,0.664649,0.660506,0.422518,0
13,0.738422,0.648910,0.660625,0.447942,0
14,0.697663,0.667070,0.660243,0.433414,0
15,0.684095,0.648910,0.628443,0.461259,0
16,0.660990,0.671913,0.660774,0.411622,0
17,0.651499,0.650121,0.668140,0.445521,0
