epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.500351,0.504843,0.431018,0.714286,1
2,1.336218,0.570218,0.507466,0.611380,1
3,1.212083,0.585956,0.566930,0.558111,1
4,1.153055,0.599274,0.596640,0.506053,1
5,1.106011,0.625908,0.603275,0.501211,1
6,1.078399,0.624697,0.563505,0.516949,0
7,1.046989,0.617433,0.647840,0.489104,1
8,1.030864,0.636804,0.606715,0.481840,0
9,0.999845,0.641646,0.592411,0.462470,0
10,0.979772,0.599274,0.632512,0.481840,0
11,0.961121,0.631961,0.648114,0.447942,1
12,0.949679,0.640436,0.627319,0.463680,0
13,0.939024,0.622276,0.640054,0.462470,0
14,0.902382,0.601695,0.648417,0.489104,1
15,0.900645,0.641646,0.642171,0.446731,0
16,0.876362,0.641646,0.662154,0.444310,1
17,0.870914,0.633172,0.663783,0.447942,1
18,0.857235,0.625908,0.651498,0.455206,0
19,0.844983,0.645278,0.655554,0.441889,0
20,0.831973,0.644068,0.654813,0.438257,0
21,0.812467,0.639225,0.660698,0.447942,0
22,0.806774,0.629540,0.659584,0.463680,0
23,0.826381,0.650121,0.656951,0.437046,0
24,0.789761,0.645278,0.659645,0.441889,0
25,0.777680,0.644068,0.665565,0.440678,1
26,0.769532,0.650121,0.655795,0.441889,0
27,0.773190,0.645278,0.657891,0.443099,0
28,0.757633,0.640436,0.640509,0.468523,0
29,0.748722,0.654964,0.673798,0.432203,1
30,0.757665,0.639225,0.662589,0.446731,0
31,0.738099,0.633172,0.643920,0.462470,0
32,0.731024,0.641646,0.660011,0.451574,0
33,0.740865,0.641646,0.657718,0.444310,0
34,0.732464,0.638015,0.663749,0.447942,0
35,0.727087,0.644068,0.660291,0.456416,0
36,0.738335,0.642857,0.653849,0.451574,0
37,0.734821,0.648910,0.670760,0.435835,0
38,0.728537,0.631961,0.640651,0.464891,0
39,0.731877,0.648910,0.658385,0.434625,0
