epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.056245,0.495157,0.409438,0.726392,1
2,1.477111,0.533898,0.484236,0.653753,1
3,1.220937,0.535109,0.557817,0.584746,1
4,1.071567,0.576271,0.593266,0.541162,1
5,0.998848,0.573850,0.597588,0.537530,1
6,0.963169,0.618644,0.635980,0.497579,1
7,0.897765,0.630751,0.632170,0.470944,0
8,0.863098,0.642857,0.630900,0.467312,0
9,0.820451,0.616223,0.585688,0.535109,0
10,0.803076,0.579903,0.597189,0.547215,0
11,0.774781,0.612591,0.620217,0.512107,0
12,0.727641,0.621065,0.630881,0.490315,0
13,0.726594,0.617433,0.613588,0.506053,0
14,0.685728,0.629540,0.632279,0.481840,0
15,0.676373,0.610169,0.617778,0.521792,0
16,0.647720,0.633172,0.650202,0.455206,1
17,0.624463,0.633172,0.648560,0.472155,0
18,0.594105,0.618644,0.597181,0.523002,0
19,0.583934,0.605327,0.620642,0.525424,0
20,0.565482,0.613801,0.625526,0.516949,0
21,0.559912,0.616223,0.616168,0.519370,0
22,0.538153,0.622276,0.622325,0.504843,0
23,0.514643,0.641646,0.656615,0.463680,1
24,0.506220,0.618644,0.630789,0.481840,0
25,0.486538,0.631961,0.642230,0.472155,0
26,0.471556,0.617433,0.641741,0.493947,0
27,0.465985,0.630751,0.653121,0.480630,0
28,0.455774,0.623487,0.647888,0.498789,0
29,0.453980,0.641646,0.651538,0.469734,0
30,0.448837,0.631961,0.648085,0.481840,0
31,0.436023,0.639225,0.641933,0.478208,0
32,0.429027,0.617433,0.646160,0.501211,0
33,0.416579,0.627119,0.650847,0.487893,0
