epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.130096,0.469734,0.397176,0.777240,1
2,1.603850,0.485472,0.417822,0.757869,1
3,1.387779,0.529056,0.503544,0.621065,1
4,1.222273,0.562954,0.556497,0.601695,1
5,1.141877,0.565375,0.558692,0.578692,1
6,1.096314,0.587167,0.574110,0.559322,1
7,1.017873,0.606538,0.608090,0.523002,1
8,0.967826,0.592010,0.572790,0.569007,0
9,0.924337,0.610169,0.596324,0.544794,0
10,0.897014,0.589588,0.590642,0.548426,0
11,0.870417,0.583535,0.579702,0.566586,0
12,0.821722,0.607748,0.600045,0.525424,0
13,0.815727,0.602906,0.607346,0.525424,0
14,0.796258,0.594431,0.599639,0.531477,0
15,0.777094,0.616223,0.598405,0.519370,0
16,0.755351,0.598063,0.610432,0.506053,1
17,0.740024,0.616223,0.619288,0.514528,1
18,0.723152,0.622276,0.597334,0.523002,0
19,0.712732,0.606538,0.608953,0.533898,0
20,0.697105,0.601695,0.608731,0.530266,0
21,0.679347,0.622276,0.614224,0.501211,0
22,0.671857,0.601695,0.583441,0.530266,0
23,0.649134,0.601695,0.599751,0.515738,0
24,0.648862,0.610169,0.610929,0.512107,0
25,0.626298,0.605327,0.606441,0.519370,0
26,0.611345,0.611380,0.609624,0.509685,0
27,0.606855,0.601695,0.605982,0.515738,0
