epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.514613,0.404358,0.332476,0.929782,1
2,1.981866,0.403148,0.353889,0.901937,1
3,1.746548,0.433414,0.410123,0.782082,1
4,1.581455,0.460048,0.444737,0.767554,1
5,1.492602,0.490315,0.474671,0.687651,1
6,1.417171,0.506053,0.488400,0.673123,1
7,1.345164,0.509685,0.525916,0.633172,1
8,1.287706,0.531477,0.497874,0.657385,0
9,1.210895,0.554479,0.528517,0.623487,1
10,1.189659,0.548426,0.555609,0.610169,1
11,1.160875,0.553269,0.550495,0.618644,0
12,1.107646,0.567797,0.558353,0.581114,1
13,1.085441,0.572639,0.554977,0.584746,0
14,1.072652,0.569007,0.560229,0.579903,1
15,1.042446,0.584746,0.562387,0.571429,1
16,1.027134,0.567797,0.575483,0.561743,1
17,1.008834,0.582324,0.576321,0.567797,1
18,1.004861,0.581114,0.568675,0.587167,0
19,0.992785,0.570218,0.586995,0.576271,1
20,0.981304,0.583535,0.596135,0.549637,1
21,0.959456,0.593220,0.607248,0.537530,1
22,0.952767,0.593220,0.579737,0.549637,0
23,0.934082,0.595642,0.600665,0.539952,0
24,0.936187,0.598063,0.596518,0.549637,0
25,0.920956,0.594431,0.597862,0.553269,0
26,0.915071,0.601695,0.594645,0.532688,0
27,0.905579,0.607748,0.609841,0.520581,1
28,0.894454,0.618644,0.631267,0.525424,1
29,0.894476,0.608959,0.615553,0.519370,0
30,0.882711,0.598063,0.596187,0.549637,0
31,0.885633,0.606538,0.609086,0.527845,0
32,0.885307,0.616223,0.619636,0.513317,0
33,0.876280,0.607748,0.613240,0.531477,0
34,0.884421,0.596852,0.606126,0.533898,0
35,0.876605,0.601695,0.600888,0.536320,0
36,0.871414,0.589588,0.583902,0.550847,0
37,0.874416,0.602906,0.606360,0.527845,0
38,0.863157,0.599274,0.597943,0.533898,0
