epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.844336,0.460048,0.342461,0.748184,1
2,1.321659,0.558111,0.544042,0.583535,1
3,1.174386,0.513317,0.507729,0.653753,0
4,1.099363,0.583535,0.567845,0.573850,1
5,1.034951,0.613801,0.594442,0.497579,1
6,1.005433,0.639225,0.633736,0.467312,1
7,0.966678,0.636804,0.612704,0.473366,0
8,0.932055,0.619855,0.580678,0.526634,0
9,0.913723,0.581114,0.612412,0.525424,0
10,0.884004,0.656174,0.647941,0.449153,1
11,0.867163,0.615012,0.645741,0.466102,0
12,0.826732,0.598063,0.645749,0.470944,0
13,0.815719,0.604116,0.639611,0.475787,0
14,0.795894,0.630751,0.646570,0.475787,0
15,0.779345,0.608959,0.629886,0.480630,0
16,0.751699,0.621065,0.622027,0.480630,0
17,0.734818,0.625908,0.617127,0.490315,0
18,0.716163,0.604116,0.614724,0.512107,0
19,0.694672,0.615012,0.633388,0.481840,0
20,0.665429,0.610169,0.621745,0.481840,0
