epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.915979,0.409201,0.315759,0.865617,1
2,1.449996,0.529056,0.436814,0.686441,1
3,1.285036,0.485472,0.416968,0.717918,0
4,1.197708,0.582324,0.531827,0.571429,1
5,1.112056,0.605327,0.554337,0.520581,1
6,1.087501,0.622276,0.609992,0.496368,1
7,1.037355,0.623487,0.593537,0.507264,0
8,1.011969,0.616223,0.579376,0.533898,0
9,0.976784,0.589588,0.619194,0.512107,1
10,0.946050,0.635593,0.621185,0.474576,1
11,0.932016,0.602906,0.614876,0.491525,0
12,0.906389,0.587167,0.615478,0.501211,0
13,0.895757,0.613801,0.633775,0.479419,1
14,0.876303,0.644068,0.643078,0.467312,1
15,0.865424,0.601695,0.619697,0.497579,0
16,0.847780,0.629540,0.623019,0.495157,0
17,0.831582,0.639225,0.637364,0.462470,0
18,0.814326,0.634383,0.639166,0.481840,0
19,0.795781,0.647700,0.656977,0.457627,1
20,0.775298,0.628329,0.625735,0.480630,0
21,0.773141,0.627119,0.647288,0.472155,0
22,0.761996,0.631961,0.615180,0.490315,0
23,0.741943,0.621065,0.623555,0.490315,0
24,0.732504,0.616223,0.634065,0.472155,0
25,0.721732,0.638015,0.629555,0.478208,0
26,0.718800,0.627119,0.636044,0.485472,0
27,0.712504,0.629540,0.630217,0.483051,0
28,0.705230,0.608959,0.630639,0.480630,0
29,0.695051,0.628329,0.610085,0.491525,0
