epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.228382,0.359564,0.311982,1.021792,1
2,1.774029,0.461259,0.398354,0.815981,1
3,1.598829,0.456416,0.412151,0.772397,1
4,1.498352,0.496368,0.438776,0.734867,1
5,1.394424,0.498789,0.462924,0.684019,1
6,1.360846,0.518160,0.502182,0.685230,1
7,1.283306,0.555690,0.553008,0.610169,1
8,1.259880,0.542373,0.544172,0.627119,0
9,1.204025,0.520581,0.549458,0.605327,0
10,1.169980,0.590799,0.560848,0.555690,1
11,1.166331,0.550847,0.557807,0.571429,0
12,1.130076,0.554479,0.583646,0.547215,1
13,1.110222,0.581114,0.606051,0.531477,1
14,1.090920,0.594431,0.607429,0.527845,1
15,1.081048,0.538741,0.575596,0.546005,0
16,1.068549,0.611380,0.610055,0.515738,1
17,1.057922,0.610169,0.628199,0.493947,1
18,1.045532,0.616223,0.608312,0.518160,0
19,1.020948,0.601695,0.626362,0.514528,0
20,1.002365,0.608959,0.609340,0.510896,0
21,1.013980,0.606538,0.615728,0.513317,0
22,0.998005,0.600484,0.612903,0.513317,0
23,0.984041,0.610169,0.600935,0.521792,0
24,0.986299,0.608959,0.617074,0.501211,0
25,0.975238,0.612591,0.594378,0.513317,0
26,0.971578,0.596852,0.603947,0.519370,0
27,0.968661,0.615012,0.607393,0.512107,0
