epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.434448,0.397094,0.113692,1.214286,1
2,1.429831,0.397094,0.113692,1.214286,0
3,1.428090,0.397094,0.113692,1.214286,0
4,1.391017,0.481840,0.329608,0.736077,1
5,1.108220,0.617433,0.534354,0.513317,1
6,0.965463,0.670702,0.619265,0.429782,1
7,0.925989,0.667070,0.626858,0.443099,1
8,0.876740,0.691283,0.686197,0.389831,1
9,0.860175,0.682809,0.667583,0.387409,0
10,0.837931,0.702179,0.707298,0.365617,1
11,0.806341,0.663438,0.679016,0.441889,0
12,0.803720,0.679177,0.677278,0.411622,0
13,0.771300,0.690073,0.689082,0.377724,0
14,0.760823,0.690073,0.698836,0.361985,0
15,0.738009,0.694915,0.700650,0.365617,0
16,0.718960,0.662228,0.681817,0.399516,0
17,0.709529,0.671913,0.697836,0.382567,0
18,0.691140,0.658596,0.696439,0.387409,0
19,0.679962,0.676755,0.690650,0.405569,0
20,0.653680,0.670702,0.683778,0.377724,0
