epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.191859,0.631961,0.554620,0.513317,1
2,0.979677,0.615012,0.625761,0.479419,1
3,0.903767,0.662228,0.619824,0.429782,0
4,0.874751,0.679177,0.678637,0.377724,1
5,0.842428,0.698547,0.699414,0.364407,1
6,0.820535,0.699758,0.708777,0.368039,1
7,0.793879,0.682809,0.671548,0.411622,0
8,0.771754,0.662228,0.698397,0.387409,0
9,0.757411,0.673123,0.696380,0.375303,0
10,0.738527,0.691283,0.725408,0.347458,1
11,0.710970,0.659806,0.672437,0.429782,0
12,0.702354,0.679177,0.703642,0.371671,0
13,0.670787,0.669492,0.651700,0.392252,0
14,0.652552,0.690073,0.682357,0.364407,0
15,0.633916,0.688862,0.697451,0.368039,0
16,0.605366,0.690073,0.702777,0.364407,0
17,0.585100,0.654964,0.688452,0.387409,0
18,0.565496,0.675545,0.703494,0.376513,0
19,0.549882,0.696126,0.702875,0.365617,0
20,0.530041,0.670702,0.693994,0.369249,0
