epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.328439,0.627119,0.529969,0.497579,1
2,1.077442,0.647700,0.656583,0.438257,1
3,0.990335,0.630751,0.621869,0.434625,0
4,0.951303,0.630751,0.663585,0.405569,1
5,0.930824,0.664649,0.656853,0.401937,0
6,0.910821,0.675545,0.665814,0.386199,1
7,0.878275,0.675545,0.688610,0.414044,1
8,0.868034,0.656174,0.690859,0.395884,1
9,0.853830,0.640436,0.678520,0.418886,0
10,0.831241,0.675545,0.679311,0.366828,0
11,0.805634,0.665860,0.682539,0.393462,0
12,0.799802,0.662228,0.694770,0.391041,1
13,0.764768,0.653753,0.670515,0.401937,0
14,0.756039,0.656174,0.667145,0.387409,0
15,0.730363,0.686441,0.700923,0.374092,1
16,0.713003,0.661017,0.684129,0.401937,0
17,0.697670,0.654964,0.693701,0.395884,0
18,0.673445,0.635593,0.681034,0.421308,0
19,0.667934,0.669492,0.685418,0.416465,0
20,0.648301,0.654964,0.678976,0.394673,0
21,0.636228,0.665860,0.684206,0.391041,0
22,0.606780,0.646489,0.648458,0.400726,0
23,0.609298,0.642857,0.658279,0.404358,0
24,0.579390,0.673123,0.690501,0.393462,0
25,0.569190,0.651332,0.685833,0.405569,0
