epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.390296,0.480630,0.227251,0.757869,1
2,1.262624,0.507264,0.305149,0.751816,1
3,1.172379,0.572639,0.398492,0.622276,1
4,1.103641,0.610169,0.526677,0.548426,1
5,1.054495,0.607748,0.520626,0.533898,0
6,1.003696,0.650121,0.632396,0.452785,1
7,0.968001,0.633172,0.559647,0.492736,0
8,0.950389,0.652542,0.624258,0.460048,0
9,0.925565,0.656174,0.640359,0.443099,1
10,0.913740,0.663438,0.650961,0.426150,1
11,0.897957,0.673123,0.669671,0.410412,1
12,0.868707,0.661017,0.654562,0.428571,0
13,0.854191,0.669492,0.671232,0.412833,1
14,0.844192,0.671913,0.653233,0.418886,0
15,0.832101,0.652542,0.669790,0.417676,0
16,0.818480,0.659806,0.655492,0.426150,0
17,0.800841,0.681598,0.660933,0.401937,0
18,0.785147,0.659806,0.686360,0.410412,1
19,0.764500,0.658596,0.661536,0.420097,0
20,0.755128,0.665860,0.683381,0.407990,0
21,0.747180,0.667070,0.682083,0.412833,0
22,0.728438,0.648910,0.664021,0.422518,0
23,0.734970,0.662228,0.668862,0.428571,0
24,0.722448,0.654964,0.673972,0.423729,0
25,0.710946,0.657385,0.676256,0.420097,0
26,0.709457,0.656174,0.669914,0.421308,0
27,0.693937,0.640436,0.667352,0.439467,0
28,0.682151,0.657385,0.661663,0.427361,0
