epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.398065,0.464891,0.207942,0.852300,1
2,1.289763,0.500000,0.291606,0.790557,1
3,1.208875,0.555690,0.367739,0.621065,1
4,1.154857,0.559322,0.378669,0.604116,1
5,1.110089,0.592010,0.441675,0.559322,1
6,1.068924,0.606538,0.506020,0.508475,1
7,1.031796,0.606538,0.500831,0.542373,0
8,1.013799,0.638015,0.570415,0.479419,1
9,0.992889,0.641646,0.583129,0.473366,1
10,0.967830,0.647700,0.621311,0.457627,1
11,0.950406,0.636804,0.602495,0.464891,0
12,0.941790,0.645278,0.609700,0.457627,0
13,0.923349,0.647700,0.621364,0.450363,1
14,0.911141,0.640436,0.607714,0.479419,0
15,0.904073,0.650121,0.665068,0.438257,1
16,0.896503,0.638015,0.629126,0.451574,0
17,0.883362,0.665860,0.607478,0.429782,0
18,0.874733,0.646489,0.633756,0.438257,0
19,0.864211,0.658596,0.645880,0.428571,0
20,0.852322,0.670702,0.653744,0.415254,0
21,0.846367,0.673123,0.659627,0.414044,0
22,0.832747,0.656174,0.659919,0.424939,0
23,0.833825,0.664649,0.652709,0.433414,0
24,0.821071,0.651332,0.641959,0.423729,0
25,0.821803,0.667070,0.656600,0.417676,0
