epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.564361,0.457627,0.244086,0.828087,1
2,1.478631,0.487893,0.305766,0.815981,1
3,1.403319,0.487893,0.370330,0.767554,1
4,1.358307,0.485472,0.401178,0.753027,1
5,1.319205,0.566586,0.464536,0.630751,1
6,1.287893,0.532688,0.516284,0.608959,1
7,1.255136,0.573850,0.532146,0.601695,1
8,1.230649,0.567797,0.505847,0.635593,0
9,1.211455,0.589588,0.552531,0.579903,1
10,1.185946,0.605327,0.590090,0.546005,1
11,1.161811,0.582324,0.567256,0.552058,0
12,1.151436,0.583535,0.562747,0.547215,0
13,1.137620,0.595642,0.594133,0.533898,1
14,1.117898,0.601695,0.560343,0.553269,0
15,1.109852,0.590799,0.609736,0.526634,1
16,1.104817,0.602906,0.592690,0.514528,0
17,1.083460,0.608959,0.535722,0.537530,0
18,1.080617,0.608959,0.598150,0.516949,0
19,1.069840,0.624697,0.614602,0.501211,1
20,1.060409,0.610169,0.603835,0.506053,0
21,1.056598,0.613801,0.578676,0.513317,0
22,1.052636,0.617433,0.613342,0.504843,0
23,1.046385,0.611380,0.580923,0.520581,0
24,1.036876,0.611380,0.597003,0.487893,0
25,1.037086,0.621065,0.614499,0.503632,0
26,1.043306,0.625908,0.616579,0.485472,1
27,1.033349,0.625908,0.608311,0.492736,0
28,1.024070,0.630751,0.615126,0.485472,0
29,1.022730,0.622276,0.609146,0.496368,0
30,1.023553,0.627119,0.616775,0.487893,1
31,1.012575,0.627119,0.628332,0.485472,1
32,1.020427,0.624697,0.614887,0.493947,0
33,1.017434,0.634383,0.611435,0.483051,0
34,1.014438,0.617433,0.612266,0.497579,0
35,1.015317,0.625908,0.602051,0.485472,0
36,1.009893,0.621065,0.610709,0.496368,0
37,1.000535,0.611380,0.603633,0.504843,0
38,1.017582,0.627119,0.616726,0.485472,0
39,1.011163,0.617433,0.616520,0.491525,0
40,1.024129,0.628329,0.611547,0.486683,0
