epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.182812,0.623487,0.448629,0.476998,1
2,0.975247,0.686441,0.657927,0.391041,1
3,0.921931,0.671913,0.647917,0.435835,0
4,0.890313,0.616223,0.603430,0.501211,0
5,0.867290,0.709443,0.700495,0.354722,1
6,0.838785,0.708232,0.684382,0.364407,0
7,0.823398,0.717918,0.697808,0.345036,0
8,0.795977,0.688862,0.710808,0.357143,1
9,0.781875,0.676755,0.635476,0.401937,0
10,0.765035,0.668281,0.701780,0.374092,0
11,0.750797,0.703390,0.707463,0.355932,0
12,0.732639,0.699758,0.679220,0.374092,0
13,0.702550,0.684019,0.700868,0.365617,0
14,0.684326,0.694915,0.711170,0.351090,1
15,0.660220,0.686441,0.684650,0.368039,0
16,0.637377,0.685230,0.675092,0.370460,0
17,0.621886,0.680387,0.697881,0.386199,0
18,0.594945,0.688862,0.694000,0.365617,0
19,0.570823,0.674334,0.713761,0.380145,1
20,0.545609,0.664649,0.713265,0.387409,0
21,0.535809,0.675545,0.690602,0.364407,0
22,0.511676,0.682809,0.709064,0.364407,0
23,0.489006,0.691283,0.710937,0.374092,0
24,0.481392,0.680387,0.691013,0.375303,0
25,0.457758,0.684019,0.701688,0.368039,0
26,0.442929,0.673123,0.693725,0.377724,0
27,0.426820,0.651332,0.697039,0.384988,0
28,0.425559,0.670702,0.695545,0.378935,0
29,0.403352,0.663438,0.689279,0.389831,0
