epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.218349,0.606538,0.478522,0.526634,1
2,0.978887,0.654964,0.591844,0.450363,1
3,0.918697,0.656174,0.614341,0.453995,1
4,0.880769,0.670702,0.655754,0.407990,1
5,0.851563,0.699758,0.700432,0.361985,1
6,0.834804,0.703390,0.666013,0.381356,0
7,0.806823,0.704600,0.685372,0.358354,0
8,0.781092,0.688862,0.699174,0.368039,0
9,0.765349,0.690073,0.663753,0.380145,0
10,0.735787,0.656174,0.678962,0.389831,0
11,0.734441,0.675545,0.683297,0.391041,0
12,0.700000,0.708232,0.685270,0.358354,0
13,0.673435,0.687651,0.705949,0.366828,1
14,0.662048,0.669492,0.702548,0.376513,0
15,0.629771,0.691283,0.667602,0.380145,0
16,0.602481,0.667070,0.646992,0.389831,0
17,0.596596,0.657385,0.638761,0.412833,0
18,0.560327,0.676755,0.691474,0.377724,0
19,0.536241,0.671913,0.703643,0.374092,0
20,0.529188,0.641646,0.651200,0.409201,0
21,0.512206,0.675545,0.679717,0.384988,0
22,0.494683,0.675545,0.707670,0.370460,1
23,0.471057,0.676755,0.682909,0.378935,0
24,0.462328,0.674334,0.679962,0.394673,0
25,0.441365,0.682809,0.697423,0.376513,0
26,0.434128,0.674334,0.692418,0.392252,0
27,0.427035,0.669492,0.696124,0.383777,0
28,0.419921,0.687651,0.705875,0.369249,0
29,0.411997,0.665860,0.673788,0.389831,0
30,0.399816,0.664649,0.665511,0.399516,0
31,0.399782,0.673123,0.685385,0.388620,0
32,0.388495,0.675545,0.683240,0.382567,0
