epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.392713,0.612591,0.549640,0.539952,1
2,1.130931,0.646489,0.630087,0.458838,1
3,1.037547,0.674334,0.653596,0.404358,1
4,0.995796,0.651332,0.665069,0.435835,1
5,0.955728,0.681598,0.683292,0.392252,1
6,0.932871,0.684019,0.657008,0.395884,0
7,0.916190,0.693705,0.689633,0.364407,1
8,0.886954,0.669492,0.705019,0.380145,1
9,0.875209,0.686441,0.667268,0.380145,0
10,0.859135,0.674334,0.694444,0.360775,0
11,0.848405,0.680387,0.698778,0.380145,0
12,0.826581,0.676755,0.664453,0.392252,0
13,0.800773,0.669492,0.707061,0.361985,1
14,0.796043,0.665860,0.676072,0.386199,0
15,0.771162,0.680387,0.701602,0.377724,0
16,0.771294,0.673123,0.695169,0.386199,0
17,0.746478,0.690073,0.695312,0.364407,0
18,0.721434,0.677966,0.702932,0.372881,0
19,0.706196,0.659806,0.677893,0.410412,0
20,0.703653,0.667070,0.691503,0.388620,0
21,0.688668,0.667070,0.669430,0.398305,0
22,0.677435,0.663438,0.690547,0.393462,0
23,0.660375,0.679177,0.687653,0.386199,0
