epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.621126,0.397094,0.113692,1.214286,1
2,1.464013,0.263923,0.091335,1.158596,0
3,1.386335,0.446731,0.293324,0.831719,1
4,1.300808,0.500000,0.325970,0.828087,1
5,1.245810,0.515738,0.391667,0.813559,1
6,1.200459,0.552058,0.352355,0.686441,0
7,1.157116,0.544794,0.452718,0.668281,1
8,1.127637,0.583535,0.528386,0.592010,1
9,1.112241,0.577482,0.505879,0.610169,0
10,1.082364,0.564165,0.489269,0.662228,0
11,1.070825,0.579903,0.508963,0.622276,0
12,1.047572,0.612591,0.547709,0.547215,1
13,1.025301,0.616223,0.572099,0.537530,1
14,1.005863,0.595642,0.575492,0.576271,1
15,0.989753,0.595642,0.585098,0.541162,1
16,0.982412,0.615012,0.569953,0.544794,0
17,0.951937,0.607748,0.538916,0.547215,0
18,0.938830,0.593220,0.582830,0.564165,0
19,0.907840,0.630751,0.618139,0.466102,1
20,0.899945,0.615012,0.604785,0.486683,0
21,0.876614,0.640436,0.626915,0.478208,1
22,0.866874,0.640436,0.667152,0.450363,1
23,0.854520,0.621065,0.618545,0.485472,0
24,0.828276,0.638015,0.662295,0.463680,0
25,0.808116,0.561743,0.648208,0.502421,0
26,0.791963,0.642857,0.667822,0.451574,1
27,0.770574,0.619855,0.664978,0.457627,0
28,0.759045,0.621065,0.673416,0.444310,1
29,0.737702,0.611380,0.650870,0.469734,0
30,0.724443,0.630751,0.675114,0.438257,1
31,0.713425,0.627119,0.674987,0.435835,0
32,0.689416,0.608959,0.679259,0.455206,1
33,0.684387,0.633172,0.672554,0.444310,0
34,0.665528,0.636804,0.688662,0.434625,1
35,0.657901,0.630751,0.663916,0.432203,0
36,0.655497,0.627119,0.673830,0.450363,0
37,0.652818,0.621065,0.658182,0.443099,0
38,0.647039,0.625908,0.678466,0.440678,0
39,0.642837,0.629540,0.678599,0.435835,0
40,0.640950,0.630751,0.679056,0.433414,0
