epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.519784,0.536320,0.459835,0.719128,1
2,1.161898,0.476998,0.489960,0.803874,1
3,1.068737,0.604116,0.568189,0.549637,1
4,1.004481,0.634383,0.582316,0.507264,1
5,0.985239,0.624697,0.575832,0.513317,0
6,0.964687,0.662228,0.627057,0.455206,1
7,0.938213,0.654964,0.605096,0.463680,0
8,0.926497,0.640436,0.625773,0.492736,0
9,0.894525,0.640436,0.596604,0.480630,0
10,0.885476,0.630751,0.660220,0.447942,1
11,0.867321,0.647700,0.654403,0.418886,0
12,0.848734,0.664649,0.629371,0.441889,0
13,0.847019,0.669492,0.673726,0.411622,1
14,0.820884,0.667070,0.665310,0.399516,0
15,0.796293,0.652542,0.688762,0.412833,1
16,0.771617,0.645278,0.604932,0.444310,0
17,0.752773,0.606538,0.637883,0.541162,0
18,0.735302,0.646489,0.684117,0.414044,0
19,0.699363,0.657385,0.683930,0.399516,0
20,0.681964,0.644068,0.661835,0.423729,0
21,0.662245,0.671913,0.671132,0.420097,0
22,0.646496,0.673123,0.691387,0.426150,1
23,0.630367,0.670702,0.683230,0.401937,0
24,0.611981,0.642857,0.654420,0.457627,0
25,0.581888,0.667070,0.692250,0.406780,1
26,0.560529,0.659806,0.681556,0.420097,0
27,0.542908,0.667070,0.677484,0.397094,0
28,0.540391,0.651332,0.689016,0.407990,0
29,0.510415,0.667070,0.682716,0.406780,0
30,0.509010,0.657385,0.664348,0.415254,0
31,0.486932,0.673123,0.708256,0.393462,1
32,0.462424,0.673123,0.701961,0.401937,0
33,0.472268,0.674334,0.700451,0.394673,0
34,0.454895,0.668281,0.696204,0.405569,0
35,0.443713,0.669492,0.698654,0.400726,0
36,0.427492,0.662228,0.695323,0.420097,0
37,0.438748,0.665860,0.691437,0.410412,0
38,0.425365,0.664649,0.692331,0.405569,0
39,0.431446,0.669492,0.693590,0.405569,0
40,0.421957,0.670702,0.694293,0.406780,0
