epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.596807,0.554479,0.449820,0.667070,1
2,1.218855,0.503632,0.509811,0.759080,1
3,1.090838,0.634383,0.627643,0.444310,1
4,1.021822,0.663438,0.624842,0.445521,0
5,0.986918,0.619855,0.648241,0.427361,1
6,0.951766,0.662228,0.662576,0.429782,1
7,0.921403,0.674334,0.652530,0.421308,0
8,0.901002,0.669492,0.701495,0.426150,1
9,0.883085,0.673123,0.687637,0.392252,0
10,0.866052,0.670702,0.677694,0.407990,0
11,0.845537,0.686441,0.699377,0.400726,0
12,0.823616,0.679177,0.673452,0.403148,0
13,0.804808,0.682809,0.708445,0.388620,1
14,0.774785,0.665860,0.696214,0.378935,0
15,0.749655,0.635593,0.646322,0.403148,0
16,0.728509,0.661017,0.689321,0.398305,0
17,0.710358,0.646489,0.693365,0.475787,0
18,0.672987,0.662228,0.716000,0.370460,1
19,0.642525,0.670702,0.722111,0.389831,1
20,0.649450,0.687651,0.719771,0.369249,0
21,0.623803,0.693705,0.710424,0.387409,0
22,0.599050,0.682809,0.707863,0.382567,0
23,0.592197,0.671913,0.705106,0.400726,0
24,0.571025,0.674334,0.708185,0.398305,0
25,0.551596,0.664649,0.709104,0.389831,0
26,0.532910,0.679177,0.706108,0.389831,0
27,0.507817,0.693705,0.734086,0.370460,1
28,0.502860,0.684019,0.722928,0.384988,0
29,0.489282,0.668281,0.709825,0.412833,0
30,0.480769,0.686441,0.715123,0.393462,0
31,0.464063,0.698547,0.729752,0.383777,0
32,0.458536,0.691283,0.726204,0.382567,0
33,0.447235,0.696126,0.725930,0.375303,0
34,0.445571,0.690073,0.724634,0.375303,0
35,0.431777,0.686441,0.721624,0.392252,0
36,0.435817,0.674334,0.716564,0.398305,0
37,0.425222,0.691283,0.724407,0.391041,0
