epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.325020,0.483871,0.413090,0.764977,1
2,0.986420,0.635945,0.625184,0.433180,1
3,0.768075,0.769585,0.761461,0.258065,1
4,0.704289,0.778802,0.763623,0.258065,1
5,0.728635,0.755760,0.741991,0.294931,0
6,0.576285,0.806452,0.795694,0.221198,1
7,0.539775,0.824885,0.817228,0.193548,1
8,0.529183,0.764977,0.759431,0.299539,0
9,0.479341,0.801843,0.788257,0.235023,0
10,0.489393,0.792627,0.798990,0.253456,0
11,0.447318,0.811060,0.822589,0.216590,1
12,0.449094,0.778802,0.779081,0.239631,0
13,0.421956,0.778802,0.749422,0.239631,0
14,0.419256,0.797235,0.779808,0.235023,0
15,0.375851,0.824885,0.811581,0.193548,0
16,0.398754,0.797235,0.793104,0.235023,0
17,0.340420,0.815668,0.818989,0.202765,0
18,0.318008,0.751152,0.755208,0.281106,0
19,0.309403,0.820276,0.819604,0.198157,0
20,0.314029,0.820276,0.817996,0.188940,0
21,0.300922,0.829493,0.823567,0.188940,1
22,0.302731,0.820276,0.821957,0.207373,0
23,0.318498,0.834101,0.834612,0.188940,1
24,0.286914,0.824885,0.818591,0.202765,0
25,0.289286,0.838710,0.836449,0.170507,1
26,0.285826,0.843318,0.850122,0.165899,1
27,0.272469,0.843318,0.840459,0.170507,0
28,0.289826,0.824885,0.825389,0.202765,0
29,0.286367,0.834101,0.828821,0.188940,0
30,0.274230,0.824885,0.822095,0.198157,0
31,0.258844,0.838710,0.833689,0.179724,0
32,0.267171,0.847926,0.844853,0.161290,0
33,0.257379,0.843318,0.835419,0.170507,0
34,0.246969,0.838710,0.834976,0.175115,0
35,0.265780,0.852535,0.850683,0.156682,1
36,0.249472,0.834101,0.834807,0.184332,0
37,0.244293,0.834101,0.831830,0.188940,0
38,0.242953,0.838710,0.835284,0.179724,0
39,0.246239,0.843318,0.837946,0.170507,0
40,0.245422,0.820276,0.814560,0.211982,0
41,0.240154,0.829493,0.826729,0.188940,0
42,0.248857,0.843318,0.838353,0.165899,0
43,0.237896,0.834101,0.828562,0.184332,0
44,0.232224,0.829493,0.825401,0.188940,0
45,0.238357,0.847926,0.849957,0.161290,0
