epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.287137,0.617512,0.596895,0.483871,1
2,0.951336,0.631336,0.602401,0.428571,1
3,0.770340,0.801843,0.789054,0.207373,1
4,0.693957,0.806452,0.795930,0.221198,1
5,0.645361,0.751152,0.726802,0.290323,0
6,0.592723,0.811060,0.776572,0.239631,0
7,0.517507,0.847926,0.841142,0.165899,1
8,0.490243,0.792627,0.795791,0.248848,0
9,0.454913,0.778802,0.752531,0.258065,0
10,0.454766,0.806452,0.800208,0.221198,0
11,0.428317,0.755760,0.769262,0.262673,0
12,0.377053,0.824885,0.827930,0.193548,0
13,0.364551,0.815668,0.806297,0.207373,0
14,0.355940,0.834101,0.829852,0.188940,0
15,0.364693,0.801843,0.802418,0.216590,0
16,0.355531,0.815668,0.809523,0.202765,0
17,0.344973,0.847926,0.855568,0.179724,1
18,0.328224,0.843318,0.847158,0.175115,0
19,0.298675,0.857143,0.861394,0.152074,1
20,0.282549,0.852535,0.858056,0.156682,0
21,0.296321,0.829493,0.833312,0.179724,0
22,0.280786,0.838710,0.836256,0.170507,0
23,0.288942,0.820276,0.825479,0.188940,0
24,0.271028,0.843318,0.846435,0.165899,0
25,0.259541,0.801843,0.804359,0.207373,0
26,0.290442,0.857143,0.859071,0.161290,0
27,0.288637,0.843318,0.848554,0.165899,0
28,0.263445,0.838710,0.846163,0.170507,0
29,0.259558,0.852535,0.853024,0.156682,0
