epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.326639,0.663594,0.642839,0.405530,1
2,0.932267,0.714286,0.706014,0.345622,1
3,0.792429,0.755760,0.745666,0.285714,1
4,0.682569,0.792627,0.780431,0.239631,1
5,0.665541,0.764977,0.760517,0.276498,0
6,0.588096,0.815668,0.803286,0.211982,1
7,0.533555,0.824885,0.828212,0.207373,1
8,0.491033,0.792627,0.801751,0.230415,0
9,0.465627,0.834101,0.825667,0.179724,0
10,0.448167,0.820276,0.823507,0.207373,0
11,0.439140,0.755760,0.767448,0.285714,0
12,0.398485,0.834101,0.836225,0.179724,1
13,0.379635,0.843318,0.844144,0.175115,1
14,0.367180,0.861751,0.859526,0.165899,1
15,0.378546,0.820276,0.828572,0.198157,0
16,0.353099,0.857143,0.861496,0.152074,1
17,0.345725,0.829493,0.830775,0.202765,0
18,0.328424,0.847926,0.850295,0.170507,0
19,0.326348,0.838710,0.838776,0.179724,0
20,0.320966,0.852535,0.851216,0.170507,0
21,0.320919,0.838710,0.840808,0.179724,0
22,0.307250,0.852535,0.845963,0.170507,0
23,0.310477,0.857143,0.861366,0.165899,0
24,0.307719,0.843318,0.845421,0.188940,0
25,0.315728,0.824885,0.830252,0.193548,0
26,0.289540,0.852535,0.850740,0.170507,0
