epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.315496,0.622120,0.545211,0.534562,1
2,1.024851,0.755760,0.727877,0.313364,1
3,0.872679,0.769585,0.748065,0.290323,1
4,0.796704,0.774194,0.769564,0.271889,1
5,0.717285,0.788018,0.773784,0.262673,1
6,0.701426,0.847926,0.841979,0.193548,1
7,0.605772,0.783410,0.779355,0.276498,0
8,0.594807,0.847926,0.835208,0.184332,0
9,0.576998,0.829493,0.825219,0.211982,0
10,0.558245,0.824885,0.826412,0.198157,0
11,0.513472,0.792627,0.794645,0.244240,0
12,0.496660,0.815668,0.811222,0.211982,0
13,0.456665,0.815668,0.816065,0.216590,0
14,0.477653,0.788018,0.784011,0.267281,0
15,0.456544,0.801843,0.799325,0.248848,0
16,0.417497,0.820276,0.817840,0.211982,0
