epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.356520,0.539171,0.467328,0.672811,1
2,1.092738,0.728111,0.699086,0.354839,1
3,0.935621,0.764977,0.753567,0.313364,1
4,0.883952,0.769585,0.767444,0.294931,1
5,0.801468,0.755760,0.760582,0.290323,0
6,0.765222,0.801843,0.793575,0.258065,1
7,0.706514,0.760369,0.764170,0.294931,0
8,0.651005,0.792627,0.789504,0.239631,0
9,0.646138,0.824885,0.806822,0.202765,1
10,0.632608,0.801843,0.794457,0.248848,0
11,0.568352,0.829493,0.833261,0.216590,1
12,0.572281,0.829493,0.823578,0.198157,0
13,0.537392,0.820276,0.830159,0.193548,0
14,0.533487,0.811060,0.814182,0.225806,0
15,0.511445,0.820276,0.826555,0.193548,0
16,0.487132,0.815668,0.823038,0.211982,0
17,0.483741,0.788018,0.785001,0.253456,0
18,0.489673,0.820276,0.815667,0.211982,0
19,0.454919,0.847926,0.837572,0.170507,1
20,0.429890,0.852535,0.848340,0.165899,1
21,0.426347,0.870968,0.862390,0.142857,1
22,0.418270,0.843318,0.837649,0.179724,0
23,0.418473,0.829493,0.827866,0.207373,0
24,0.410437,0.783410,0.783297,0.253456,0
25,0.409092,0.824885,0.837711,0.198157,0
26,0.422088,0.852535,0.846031,0.165899,0
27,0.407744,0.838710,0.840032,0.188940,0
28,0.390180,0.852535,0.849650,0.165899,0
29,0.385613,0.847926,0.846871,0.175115,0
30,0.370934,0.847926,0.843106,0.179724,0
31,0.390949,0.829493,0.825185,0.202765,0
