epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.457781,0.520737,0.468158,0.723502,1
2,1.240486,0.617512,0.596040,0.543779,1
3,1.104358,0.691244,0.692155,0.410138,1
4,1.050751,0.686636,0.665655,0.419355,0
5,0.983043,0.718894,0.713176,0.364055,1
6,0.934336,0.760369,0.749627,0.308756,1
7,0.868069,0.723502,0.725977,0.341014,0
8,0.819547,0.764977,0.753345,0.313364,1
9,0.817222,0.764977,0.732631,0.317972,0
10,0.790521,0.769585,0.761567,0.299539,1
11,0.747884,0.769585,0.772774,0.285714,1
12,0.731455,0.820276,0.820573,0.216590,1
13,0.715979,0.788018,0.788726,0.253456,0
14,0.700185,0.797235,0.794297,0.253456,0
15,0.658294,0.792627,0.793048,0.253456,0
16,0.654837,0.815668,0.811985,0.221198,0
17,0.657585,0.797235,0.808290,0.225806,0
18,0.641939,0.792627,0.791839,0.258065,0
19,0.616749,0.797235,0.797760,0.248848,0
20,0.593986,0.811060,0.813266,0.225806,0
21,0.595126,0.824885,0.818117,0.221198,0
22,0.590381,0.824885,0.833145,0.211982,1
23,0.568884,0.838710,0.829526,0.207373,0
24,0.581034,0.815668,0.814231,0.235023,0
25,0.563527,0.811060,0.827104,0.216590,0
26,0.573475,0.829493,0.829084,0.211982,0
27,0.537242,0.820276,0.829843,0.207373,0
28,0.537059,0.815668,0.814278,0.244240,0
29,0.525049,0.801843,0.801389,0.248848,0
30,0.513965,0.824885,0.822904,0.230415,0
31,0.530767,0.811060,0.803310,0.267281,0
32,0.499485,0.815668,0.823429,0.216590,0
