epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.253034,0.516129,0.490736,0.755760,1
2,1.595245,0.576037,0.568078,0.576037,1
3,1.387602,0.686636,0.697077,0.465438,1
4,1.128557,0.728111,0.732874,0.410138,1
5,0.921900,0.741935,0.747746,0.373272,1
6,0.934700,0.705069,0.706592,0.442396,0
7,0.841512,0.760369,0.759804,0.327189,1
8,0.792831,0.751152,0.746736,0.327189,0
9,0.777498,0.746544,0.740698,0.322581,0
10,0.707068,0.778802,0.783635,0.276498,1
11,0.666368,0.760369,0.757901,0.285714,0
12,0.640693,0.764977,0.768727,0.285714,0
13,0.632792,0.783410,0.785596,0.262673,1
14,0.595091,0.783410,0.770784,0.267281,0
15,0.597141,0.778802,0.774161,0.281106,0
16,0.589396,0.764977,0.762471,0.299539,0
17,0.543682,0.774194,0.773762,0.276498,0
18,0.504069,0.788018,0.793187,0.258065,1
19,0.505642,0.783410,0.781727,0.267281,0
20,0.507391,0.806452,0.803944,0.225806,1
21,0.478295,0.797235,0.795830,0.244240,0
22,0.486937,0.797235,0.802713,0.239631,0
23,0.459977,0.788018,0.792363,0.267281,0
24,0.472510,0.801843,0.806499,0.239631,1
25,0.469754,0.811060,0.812841,0.239631,1
26,0.403313,0.778802,0.782198,0.281106,0
27,0.449666,0.788018,0.792675,0.262673,0
28,0.384312,0.755760,0.757319,0.336406,0
29,0.430058,0.778802,0.783292,0.276498,0
30,0.407171,0.806452,0.807468,0.253456,0
31,0.409818,0.815668,0.815776,0.221198,1
32,0.392204,0.815668,0.811362,0.221198,0
33,0.420835,0.797235,0.797934,0.244240,0
34,0.388677,0.797235,0.797835,0.248848,0
35,0.359994,0.806452,0.809730,0.239631,0
36,0.372801,0.797235,0.801836,0.244240,0
37,0.369944,0.811060,0.822557,0.216590,1
38,0.381391,0.806452,0.814262,0.225806,0
39,0.365232,0.815668,0.815616,0.221198,0
40,0.360331,0.792627,0.798963,0.248848,0
41,0.351656,0.806452,0.809867,0.239631,0
42,0.357378,0.811060,0.818545,0.221198,0
43,0.362751,0.815668,0.818422,0.211982,0
44,0.359575,0.806452,0.812438,0.225806,0
45,0.347906,0.820276,0.823684,0.202765,1
46,0.343165,0.811060,0.806837,0.225806,0
47,0.349695,0.815668,0.818738,0.216590,0
48,0.344232,0.820276,0.822342,0.207373,0
49,0.338275,0.824885,0.825814,0.202765,1
50,0.336271,0.811060,0.812625,0.216590,0
51,0.333448,0.811060,0.814281,0.221198,0
52,0.353709,0.801843,0.806965,0.230415,0
53,0.335190,0.815668,0.818436,0.221198,0
54,0.335692,0.815668,0.818102,0.221198,0
55,0.348569,0.806452,0.809378,0.230415,0
56,0.346391,0.815668,0.814982,0.221198,0
57,0.367619,0.811060,0.812717,0.221198,0
58,0.345120,0.801843,0.800681,0.230415,0
59,0.341424,0.815668,0.817789,0.207373,0
