epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.367658,0.442396,0.412557,0.838710,1
2,1.783875,0.599078,0.590424,0.562212,1
3,1.504279,0.658986,0.662276,0.483871,1
4,1.238838,0.658986,0.642822,0.497696,0
5,1.088101,0.718894,0.716010,0.400922,1
6,1.073749,0.705069,0.694905,0.433180,0
7,0.966289,0.718894,0.730185,0.391705,1
8,0.912083,0.737327,0.728679,0.364055,0
9,0.902316,0.695853,0.689732,0.410138,0
10,0.837943,0.737327,0.737359,0.331797,1
11,0.783386,0.728111,0.729113,0.354839,0
12,0.753470,0.746544,0.747781,0.345622,1
13,0.712729,0.737327,0.738117,0.350230,0
14,0.688967,0.755760,0.751611,0.317972,1
15,0.694784,0.769585,0.779251,0.331797,1
16,0.685820,0.755760,0.771220,0.331797,0
17,0.645049,0.760369,0.774364,0.322581,0
18,0.610566,0.751152,0.760209,0.350230,0
19,0.600642,0.751152,0.759772,0.313364,0
20,0.615975,0.746544,0.757076,0.327189,0
21,0.588626,0.774194,0.782461,0.308756,1
22,0.603194,0.737327,0.746135,0.350230,0
23,0.558922,0.755760,0.767239,0.322581,0
24,0.573111,0.769585,0.775504,0.304147,0
25,0.539147,0.769585,0.768973,0.336406,0
26,0.503042,0.741935,0.749626,0.350230,0
27,0.540061,0.755760,0.763757,0.336406,0
28,0.501886,0.751152,0.754835,0.354839,0
29,0.517104,0.741935,0.744063,0.364055,0
30,0.494848,0.755760,0.755402,0.336406,0
31,0.507402,0.788018,0.792399,0.290323,1
32,0.477927,0.788018,0.787721,0.294931,0
33,0.506194,0.797235,0.804168,0.262673,1
34,0.484447,0.783410,0.792059,0.285714,0
35,0.449452,0.764977,0.769245,0.322581,0
36,0.453152,0.792627,0.792193,0.271889,0
37,0.448248,0.792627,0.790746,0.276498,0
38,0.478320,0.788018,0.787388,0.281106,0
39,0.451461,0.801843,0.807407,0.239631,1
40,0.438323,0.778802,0.777239,0.308756,0
41,0.444569,0.783410,0.787200,0.276498,0
42,0.426772,0.788018,0.791552,0.267281,0
43,0.442230,0.788018,0.795479,0.258065,0
44,0.425997,0.783410,0.784268,0.281106,0
45,0.417833,0.778802,0.778928,0.290323,0
46,0.426077,0.783410,0.785724,0.271889,0
47,0.439455,0.778802,0.777364,0.294931,0
48,0.417290,0.792627,0.793233,0.253456,0
49,0.418137,0.788018,0.784428,0.267281,0
