epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.661495,0.387097,0.370658,1.073733,1
2,2.152350,0.502304,0.488815,0.774194,1
3,1.850360,0.557604,0.555770,0.640553,1
4,1.582159,0.589862,0.585644,0.617512,1
5,1.409835,0.622120,0.617188,0.566820,1
6,1.412289,0.645161,0.641359,0.516129,1
7,1.277886,0.672811,0.671652,0.460829,1
8,1.219797,0.695853,0.693985,0.410138,1
9,1.200190,0.686636,0.674035,0.423963,0
10,1.169953,0.695853,0.705884,0.396313,1
11,1.069903,0.709677,0.706579,0.400922,1
12,1.057470,0.714286,0.717685,0.396313,1
13,0.959934,0.709677,0.715874,0.405530,0
14,0.954189,0.741935,0.752669,0.341014,1
15,0.980526,0.714286,0.722255,0.433180,0
16,0.951604,0.741935,0.760652,0.345622,1
17,0.903160,0.741935,0.748142,0.354839,0
18,0.862166,0.718894,0.735881,0.354839,0
19,0.860355,0.741935,0.754351,0.331797,0
20,0.875523,0.728111,0.740327,0.368664,0
21,0.806078,0.751152,0.766024,0.359447,1
22,0.854200,0.732719,0.746776,0.368664,0
23,0.782178,0.741935,0.749879,0.345622,0
24,0.815528,0.732719,0.740553,0.368664,0
25,0.777021,0.737327,0.755443,0.350230,0
26,0.735734,0.746544,0.761725,0.336406,0
27,0.749013,0.764977,0.775301,0.308756,1
28,0.737047,0.741935,0.757160,0.364055,0
29,0.722881,0.769585,0.779950,0.294931,1
30,0.725258,0.746544,0.758820,0.350230,0
31,0.709272,0.769585,0.784687,0.304147,1
32,0.691709,0.764977,0.779403,0.317972,0
33,0.708398,0.760369,0.770781,0.308756,0
34,0.704003,0.764977,0.776929,0.308756,0
35,0.638925,0.741935,0.752562,0.350230,0
36,0.657050,0.764977,0.773446,0.313364,0
37,0.681321,0.746544,0.759881,0.354839,0
38,0.691989,0.755760,0.765115,0.331797,0
39,0.643078,0.764977,0.777156,0.317972,0
40,0.652417,0.755760,0.766272,0.336406,0
41,0.659192,0.746544,0.759067,0.350230,0
