epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.147005,0.548387,0.492107,0.626728,1
2,1.354635,0.677419,0.665068,0.437788,1
3,1.225430,0.705069,0.686384,0.410138,1
4,1.038926,0.677419,0.655753,0.451613,0
5,0.964706,0.737327,0.733473,0.364055,1
6,0.885694,0.741935,0.730355,0.350230,0
7,0.776979,0.769585,0.743244,0.304147,1
8,0.784085,0.769585,0.745300,0.299539,1
9,0.708846,0.746544,0.733022,0.331797,0
10,0.727566,0.778802,0.766716,0.290323,1
11,0.692572,0.764977,0.754192,0.308756,0
12,0.619905,0.801843,0.793646,0.276498,1
13,0.642177,0.811060,0.804165,0.262673,1
14,0.573147,0.741935,0.739031,0.336406,0
15,0.528067,0.764977,0.762449,0.313364,0
16,0.550749,0.797235,0.771339,0.258065,0
17,0.546819,0.801843,0.795853,0.258065,0
18,0.544448,0.778802,0.780850,0.285714,0
19,0.513167,0.788018,0.768164,0.285714,0
20,0.494790,0.764977,0.768067,0.304147,0
21,0.472813,0.792627,0.794921,0.281106,0
22,0.461098,0.811060,0.813912,0.235023,1
23,0.437386,0.792627,0.794060,0.276498,0
24,0.425952,0.788018,0.800921,0.262673,0
25,0.456302,0.801843,0.805784,0.276498,0
26,0.420952,0.820276,0.816714,0.239631,1
27,0.419291,0.811060,0.810554,0.253456,0
28,0.414859,0.801843,0.807277,0.267281,0
29,0.441945,0.806452,0.810779,0.230415,0
30,0.393173,0.811060,0.814600,0.225806,0
31,0.398696,0.815668,0.820743,0.235023,1
32,0.390231,0.829493,0.829486,0.221198,1
33,0.392906,0.820276,0.818469,0.225806,0
34,0.398339,0.797235,0.800830,0.262673,0
35,0.385882,0.820276,0.819685,0.211982,0
36,0.367437,0.829493,0.829435,0.202765,0
37,0.382347,0.820276,0.820321,0.216590,0
38,0.377394,0.824885,0.828069,0.211982,0
39,0.397578,0.815668,0.823155,0.239631,0
40,0.371446,0.834101,0.834567,0.198157,1
41,0.364085,0.829493,0.833545,0.211982,0
42,0.362970,0.824885,0.833426,0.216590,0
43,0.360801,0.829493,0.830225,0.202765,0
44,0.347390,0.829493,0.831160,0.202765,0
45,0.379686,0.824885,0.831617,0.207373,0
46,0.351594,0.829493,0.835262,0.202765,1
47,0.360103,0.829493,0.834885,0.202765,0
48,0.333961,0.829493,0.833685,0.207373,0
49,0.348414,0.811060,0.811168,0.225806,0
50,0.343277,0.829493,0.833332,0.202765,0
51,0.347534,0.834101,0.839624,0.202765,1
52,0.339795,0.824885,0.829982,0.207373,0
53,0.338759,0.829493,0.835081,0.202765,0
54,0.349826,0.838710,0.842345,0.193548,1
55,0.334755,0.829493,0.833332,0.202765,0
56,0.328613,0.829493,0.836780,0.188940,0
57,0.334678,0.820276,0.820458,0.216590,0
58,0.325486,0.829493,0.833208,0.202765,0
59,0.335039,0.829493,0.836640,0.202765,0
60,0.336661,0.829493,0.836640,0.202765,0
