epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.209547,0.442396,0.384834,0.783410,1
2,1.480092,0.562212,0.549705,0.622120,1
3,1.354348,0.705069,0.691780,0.410138,1
4,1.190789,0.654378,0.632107,0.520737,0
5,1.108202,0.723502,0.701609,0.410138,1
6,0.986998,0.714286,0.696963,0.391705,0
7,0.913012,0.732719,0.720705,0.368664,1
8,0.914599,0.723502,0.690897,0.382488,0
9,0.843473,0.728111,0.704971,0.373272,0
10,0.836209,0.755760,0.743877,0.331797,1
11,0.818917,0.741935,0.727109,0.350230,0
12,0.750366,0.769585,0.749505,0.304147,1
13,0.741034,0.764977,0.737325,0.317972,0
14,0.676591,0.737327,0.738964,0.336406,0
15,0.644332,0.751152,0.742065,0.317972,0
16,0.676046,0.774194,0.755393,0.317972,1
17,0.658673,0.788018,0.775637,0.285714,1
18,0.665231,0.778802,0.769381,0.294931,0
19,0.621918,0.783410,0.761748,0.294931,0
20,0.610385,0.783410,0.781491,0.281106,1
21,0.567807,0.778802,0.771158,0.294931,0
22,0.580374,0.792627,0.793241,0.262673,1
23,0.546613,0.783410,0.781876,0.299539,0
24,0.518401,0.783410,0.777118,0.281106,0
25,0.537628,0.783410,0.779203,0.304147,0
26,0.525946,0.797235,0.795220,0.271889,1
27,0.520588,0.783410,0.781449,0.285714,0
28,0.494887,0.806452,0.807481,0.248848,1
29,0.546251,0.760369,0.764967,0.299539,0
30,0.481776,0.788018,0.793763,0.267281,0
31,0.495459,0.797235,0.799956,0.267281,0
32,0.474530,0.797235,0.799889,0.262673,0
33,0.484435,0.783410,0.782015,0.290323,0
34,0.503677,0.806452,0.805927,0.258065,0
35,0.470122,0.783410,0.787014,0.271889,0
36,0.462243,0.778802,0.782600,0.290323,0
37,0.469142,0.801843,0.805698,0.244240,0
38,0.480134,0.797235,0.803480,0.258065,0
