epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.445928,0.410138,0.358464,0.898618,1
2,1.772525,0.465438,0.465569,0.797235,1
3,1.648473,0.594470,0.575731,0.534562,1
4,1.486974,0.557604,0.551655,0.635945,0
5,1.393121,0.635945,0.629438,0.562212,1
6,1.248692,0.645161,0.641941,0.506912,1
7,1.193762,0.654378,0.644793,0.493088,1
8,1.145742,0.672811,0.655484,0.470046,1
9,1.090882,0.672811,0.652966,0.451613,0
10,1.101269,0.640553,0.634626,0.529954,0
11,1.077000,0.718894,0.693732,0.391705,1
12,1.024808,0.723502,0.703563,0.377880,1
13,0.967810,0.714286,0.692582,0.400922,0
14,0.887989,0.732719,0.720411,0.364055,1
15,0.895388,0.700461,0.697221,0.396313,0
16,0.888170,0.741935,0.719060,0.368664,0
17,0.873851,0.746544,0.717959,0.350230,0
18,0.895178,0.737327,0.720333,0.364055,0
19,0.844367,0.737327,0.710288,0.364055,0
20,0.840528,0.723502,0.710459,0.377880,0
21,0.800283,0.746544,0.736071,0.350230,1
22,0.815731,0.732719,0.727202,0.359447,0
23,0.777353,0.741935,0.727155,0.368664,0
24,0.740184,0.732719,0.718893,0.368664,0
25,0.730797,0.751152,0.729956,0.359447,0
26,0.747079,0.755760,0.743417,0.359447,1
27,0.744249,0.760369,0.750556,0.317972,1
28,0.680948,0.746544,0.735601,0.345622,0
29,0.751245,0.746544,0.742038,0.354839,0
30,0.686196,0.741935,0.728772,0.350230,0
31,0.697314,0.746544,0.735947,0.350230,0
32,0.678305,0.746544,0.735064,0.345622,0
33,0.678293,0.751152,0.738922,0.341014,0
34,0.713163,0.760369,0.743966,0.317972,0
35,0.680254,0.755760,0.743262,0.336406,0
36,0.659524,0.760369,0.752451,0.322581,1
37,0.662475,0.755760,0.751860,0.331797,0
38,0.681555,0.755760,0.747321,0.331797,0
39,0.691349,0.764977,0.759309,0.327189,1
40,0.672261,0.751152,0.742980,0.331797,0
41,0.648905,0.783410,0.773109,0.294931,1
42,0.639341,0.755760,0.740982,0.331797,0
43,0.655255,0.769585,0.768861,0.313364,0
44,0.638805,0.760369,0.746201,0.322581,0
45,0.652322,0.769585,0.773385,0.304147,1
46,0.662489,0.760369,0.755623,0.317972,0
47,0.647179,0.760369,0.761342,0.317972,0
48,0.615376,0.764977,0.760256,0.313364,0
49,0.627368,0.764977,0.764792,0.308756,0
50,0.641453,0.774194,0.770854,0.299539,0
51,0.620865,0.774194,0.776678,0.304147,1
52,0.639414,0.778802,0.774371,0.299539,0
53,0.642873,0.774194,0.765616,0.299539,0
54,0.629104,0.769585,0.761639,0.304147,0
55,0.622157,0.774194,0.766709,0.304147,0
56,0.600635,0.764977,0.755720,0.317972,0
57,0.604264,0.774194,0.771858,0.313364,0
58,0.598806,0.774194,0.770051,0.308756,0
59,0.607680,0.774194,0.765106,0.294931,0
60,0.615057,0.760369,0.751980,0.350230,0
