epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.355005,0.580645,0.396632,0.539171,1
2,0.962562,0.668203,0.599826,0.428571,1
3,0.903281,0.737327,0.743716,0.322581,1
4,0.722199,0.774194,0.751341,0.276498,1
5,0.683222,0.534562,0.472087,0.585253,0
6,0.667558,0.806452,0.774078,0.239631,1
7,0.575919,0.838710,0.827884,0.184332,1
8,0.534564,0.815668,0.795722,0.207373,0
9,0.519576,0.806452,0.802198,0.230415,0
10,0.470550,0.774194,0.772918,0.244240,0
11,0.476727,0.792627,0.791286,0.221198,0
12,0.458166,0.801843,0.798906,0.235023,0
13,0.426603,0.806452,0.816405,0.235023,0
14,0.404451,0.824885,0.818610,0.211982,0
15,0.345747,0.829493,0.823342,0.188940,0
16,0.392456,0.824885,0.828378,0.202765,1
17,0.363080,0.815668,0.804687,0.216590,0
18,0.379002,0.811060,0.803917,0.202765,0
19,0.327245,0.829493,0.829685,0.184332,1
20,0.356397,0.834101,0.834560,0.179724,1
21,0.324474,0.824885,0.813880,0.198157,0
22,0.354713,0.824885,0.830774,0.198157,0
23,0.320531,0.815668,0.827682,0.207373,0
24,0.291253,0.838710,0.839728,0.188940,1
25,0.289065,0.820276,0.822042,0.198157,0
26,0.295034,0.829493,0.822964,0.188940,0
27,0.281404,0.824885,0.822521,0.198157,0
28,0.288146,0.824885,0.832059,0.193548,0
29,0.292933,0.824885,0.834245,0.188940,0
30,0.251988,0.820276,0.820034,0.207373,0
31,0.272924,0.834101,0.834583,0.184332,0
32,0.258103,0.834101,0.834458,0.184332,0
33,0.277018,0.829493,0.826786,0.188940,0
34,0.257853,0.834101,0.831144,0.188940,0
