epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.277124,0.548387,0.406669,0.668203,1
2,0.917885,0.603687,0.606222,0.539171,1
3,0.824725,0.760369,0.749457,0.304147,1
4,0.699600,0.774194,0.765753,0.262673,1
5,0.677507,0.792627,0.776353,0.253456,1
6,0.634897,0.788018,0.741867,0.253456,0
7,0.555027,0.792627,0.786912,0.253456,1
8,0.576338,0.778802,0.771507,0.248848,0
9,0.505725,0.820276,0.816233,0.198157,1
10,0.450155,0.806452,0.815436,0.225806,0
11,0.460172,0.797235,0.806787,0.239631,0
12,0.465999,0.838710,0.844404,0.184332,1
13,0.414047,0.774194,0.780887,0.281106,0
14,0.406565,0.852535,0.847238,0.175115,1
15,0.370211,0.852535,0.851352,0.161290,1
16,0.408410,0.829493,0.819319,0.198157,0
17,0.357942,0.829493,0.844273,0.188940,0
18,0.341441,0.801843,0.812095,0.216590,0
19,0.328001,0.778802,0.781426,0.262673,0
20,0.319387,0.824885,0.825531,0.207373,0
21,0.290671,0.824885,0.838030,0.202765,0
22,0.301082,0.843318,0.848762,0.170507,0
23,0.303949,0.797235,0.805754,0.248848,0
24,0.315490,0.815668,0.819878,0.207373,0
25,0.287005,0.824885,0.823495,0.188940,0
