epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.299267,0.529954,0.553739,0.594470,1
2,0.959497,0.617512,0.588187,0.506912,1
3,0.831689,0.700461,0.697096,0.368664,1
4,0.768139,0.760369,0.732255,0.299539,1
5,0.716225,0.755760,0.739249,0.299539,1
6,0.642567,0.792627,0.756765,0.248848,1
7,0.598670,0.797235,0.803373,0.239631,1
8,0.595659,0.797235,0.787971,0.244240,0
9,0.532962,0.801843,0.796622,0.235023,0
10,0.501339,0.806452,0.807959,0.225806,1
11,0.514554,0.801843,0.805576,0.248848,0
12,0.485154,0.843318,0.833927,0.179724,1
13,0.484490,0.792627,0.796132,0.244240,0
14,0.430668,0.815668,0.816796,0.221198,0
15,0.420601,0.829493,0.829283,0.207373,0
16,0.405942,0.834101,0.832607,0.188940,0
17,0.402763,0.838710,0.840304,0.193548,1
18,0.386022,0.824885,0.835155,0.207373,0
19,0.366077,0.783410,0.778688,0.271889,0
20,0.381406,0.801843,0.807203,0.230415,0
21,0.346546,0.834101,0.833945,0.202765,0
22,0.336599,0.824885,0.830223,0.198157,0
23,0.351628,0.843318,0.851121,0.175115,1
24,0.351430,0.843318,0.853716,0.175115,1
25,0.324353,0.847926,0.854705,0.165899,1
26,0.311396,0.824885,0.831086,0.211982,0
27,0.318069,0.847926,0.855658,0.161290,1
28,0.309001,0.838710,0.847750,0.175115,0
29,0.304411,0.834101,0.835843,0.184332,0
30,0.306293,0.838710,0.847594,0.170507,0
31,0.311887,0.838710,0.839830,0.184332,0
32,0.307901,0.834101,0.839389,0.179724,0
33,0.303407,0.857143,0.859800,0.161290,1
34,0.289796,0.834101,0.841819,0.179724,0
35,0.298860,0.843318,0.851499,0.161290,0
36,0.293822,0.843318,0.846980,0.170507,0
37,0.284144,0.847926,0.853189,0.165899,0
38,0.299433,0.847926,0.853853,0.165899,0
39,0.296978,0.857143,0.863423,0.152074,1
40,0.293106,0.838710,0.847345,0.170507,0
41,0.284169,0.829493,0.838056,0.193548,0
42,0.273511,0.834101,0.842301,0.175115,0
43,0.277479,0.824885,0.831646,0.198157,0
44,0.275309,0.843318,0.849014,0.165899,0
45,0.277253,0.834101,0.840862,0.179724,0
46,0.277616,0.847926,0.853995,0.165899,0
47,0.276401,0.852535,0.856915,0.156682,0
48,0.271771,0.857143,0.861442,0.152074,0
49,0.280273,0.838710,0.846702,0.170507,0
