epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.479573,0.400922,0.201454,1.092166,1
2,1.364710,0.382488,0.205030,1.036866,1
3,1.282243,0.520737,0.420443,0.829493,1
4,1.186251,0.617512,0.478095,0.599078,1
5,1.120160,0.594470,0.471005,0.626728,0
6,1.080437,0.649770,0.556008,0.488479,1
7,0.995138,0.705069,0.667284,0.387097,1
8,0.908459,0.737327,0.699460,0.350230,1
9,0.884616,0.751152,0.730678,0.331797,1
10,0.893542,0.764977,0.738142,0.281106,1
11,0.849737,0.718894,0.686831,0.345622,0
12,0.782696,0.691244,0.681385,0.382488,0
13,0.835673,0.769585,0.741079,0.290323,1
14,0.782341,0.755760,0.738328,0.317972,0
15,0.731430,0.783410,0.774615,0.262673,1
16,0.717493,0.783410,0.776158,0.262673,1
17,0.707185,0.774194,0.754751,0.267281,0
18,0.656888,0.797235,0.794157,0.244240,1
19,0.644262,0.788018,0.751527,0.253456,0
20,0.654385,0.797235,0.770532,0.239631,0
21,0.659523,0.788018,0.768647,0.271889,0
22,0.635763,0.797235,0.776956,0.248848,0
23,0.624601,0.792627,0.760060,0.248848,0
24,0.587697,0.806452,0.801741,0.235023,1
25,0.608810,0.801843,0.777752,0.239631,0
26,0.569818,0.792627,0.790549,0.248848,0
27,0.576939,0.806452,0.789853,0.230415,0
28,0.578345,0.806452,0.795176,0.225806,0
29,0.532357,0.815668,0.793053,0.216590,0
30,0.549044,0.811060,0.800286,0.230415,0
31,0.558389,0.829493,0.813433,0.198157,1
32,0.533536,0.806452,0.798133,0.235023,0
33,0.522925,0.829493,0.817726,0.202765,1
34,0.548735,0.838710,0.826929,0.198157,1
35,0.519204,0.824885,0.809100,0.202765,0
36,0.516450,0.801843,0.788114,0.235023,0
37,0.524887,0.820276,0.802285,0.207373,0
38,0.518843,0.820276,0.811051,0.207373,0
39,0.490177,0.815668,0.804951,0.221198,0
40,0.519569,0.815668,0.796390,0.211982,0
41,0.510003,0.824885,0.814694,0.211982,0
42,0.477307,0.824885,0.812032,0.202765,0
43,0.480668,0.824885,0.817048,0.211982,0
44,0.503801,0.834101,0.830265,0.207373,1
45,0.471402,0.824885,0.813447,0.207373,0
46,0.491415,0.829493,0.816664,0.211982,0
47,0.475277,0.843318,0.828882,0.179724,0
48,0.481481,0.829493,0.814532,0.202765,0
49,0.481503,0.843318,0.839103,0.179724,1
50,0.477395,0.843318,0.831705,0.184332,0
51,0.479586,0.838710,0.829731,0.188940,0
52,0.492346,0.820276,0.797305,0.216590,0
53,0.454487,0.838710,0.828477,0.188940,0
54,0.497859,0.838710,0.834634,0.184332,0
55,0.472772,0.843318,0.834655,0.179724,0
56,0.479032,0.843318,0.834807,0.188940,0
57,0.472999,0.834101,0.825926,0.202765,0
58,0.458096,0.838710,0.828477,0.188940,0
59,0.465903,0.829493,0.817034,0.198157,0
