epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.481683,0.391705,0.197778,1.170507,1
2,1.369311,0.483871,0.288986,0.912442,1
3,1.278954,0.442396,0.327554,0.976959,1
4,1.215536,0.529954,0.423783,0.792627,1
5,1.151651,0.631336,0.542092,0.594470,1
6,1.108067,0.631336,0.543484,0.562212,1
7,1.056345,0.668203,0.628606,0.470046,1
8,0.989653,0.682028,0.630675,0.451613,1
9,0.968793,0.658986,0.605277,0.493088,0
10,1.006386,0.723502,0.705995,0.359447,1
11,0.927022,0.705069,0.663940,0.410138,0
12,0.883635,0.723502,0.710818,0.359447,1
13,0.922419,0.746544,0.729079,0.317972,1
14,0.890115,0.732719,0.695924,0.354839,0
15,0.828369,0.774194,0.753410,0.304147,1
16,0.840365,0.778802,0.764793,0.281106,1
17,0.841486,0.746544,0.719052,0.331797,0
18,0.786740,0.751152,0.731588,0.322581,0
19,0.785784,0.778802,0.766455,0.299539,1
20,0.769825,0.755760,0.749983,0.317972,0
21,0.804053,0.764977,0.759275,0.294931,0
22,0.773222,0.760369,0.745178,0.304147,0
23,0.785747,0.778802,0.755825,0.299539,0
24,0.730399,0.801843,0.780650,0.271889,1
25,0.765046,0.792627,0.776480,0.267281,0
26,0.717307,0.774194,0.758488,0.294931,0
27,0.725543,0.792627,0.778373,0.262673,0
28,0.723614,0.797235,0.770927,0.276498,0
29,0.713205,0.778802,0.763859,0.299539,0
30,0.714050,0.769585,0.754851,0.313364,0
31,0.690260,0.783410,0.770908,0.290323,0
32,0.695590,0.783410,0.774936,0.285714,0
33,0.671986,0.792627,0.774903,0.262673,0
34,0.696328,0.764977,0.747227,0.313364,0
