epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.553013,0.400922,0.221172,1.129032,1
2,1.446063,0.460829,0.335897,0.940092,1
3,1.377706,0.470046,0.401963,0.953917,1
4,1.322701,0.506912,0.424771,0.866359,1
5,1.294331,0.493088,0.429038,0.866359,1
6,1.243362,0.557604,0.499253,0.797235,1
7,1.214917,0.612903,0.581774,0.663594,1
8,1.158782,0.552995,0.521232,0.695853,0
9,1.149516,0.640553,0.607691,0.529954,1
10,1.166489,0.668203,0.640592,0.506912,1
11,1.125079,0.645161,0.599363,0.612903,0
12,1.066293,0.566820,0.553310,0.649770,0
13,1.095112,0.654378,0.634251,0.506912,0
14,1.065675,0.677419,0.642378,0.474654,1
15,1.003356,0.718894,0.691457,0.396313,1
16,1.039698,0.705069,0.690699,0.410138,0
17,1.001315,0.718894,0.697432,0.377880,1
18,0.974501,0.728111,0.706759,0.354839,1
19,0.973915,0.741935,0.738199,0.359447,1
20,0.954390,0.737327,0.712857,0.368664,0
21,0.972333,0.755760,0.739168,0.317972,1
22,0.950380,0.737327,0.722661,0.341014,0
23,0.953346,0.741935,0.727242,0.368664,0
24,0.917491,0.751152,0.742780,0.345622,1
25,0.956812,0.764977,0.747023,0.304147,1
26,0.885869,0.746544,0.738981,0.331797,0
27,0.920529,0.764977,0.755032,0.308756,1
28,0.916071,0.741935,0.736627,0.331797,0
29,0.888672,0.755760,0.742523,0.304147,0
30,0.881797,0.755760,0.737457,0.327189,0
31,0.867857,0.746544,0.739846,0.336406,0
32,0.894072,0.760369,0.751303,0.317972,0
33,0.864160,0.755760,0.751657,0.317972,0
34,0.870106,0.764977,0.760879,0.317972,1
35,0.872969,0.764977,0.751205,0.299539,0
36,0.871465,0.755760,0.752758,0.322581,0
37,0.863203,0.751152,0.738414,0.341014,0
38,0.876594,0.764977,0.745467,0.294931,0
39,0.850106,0.769585,0.760253,0.308756,0
40,0.864465,0.769585,0.758054,0.308756,0
41,0.855231,0.764977,0.761385,0.308756,1
42,0.831244,0.760369,0.759202,0.308756,0
43,0.838649,0.751152,0.747786,0.327189,0
44,0.842296,0.751152,0.756628,0.327189,0
45,0.812404,0.760369,0.758132,0.304147,0
46,0.832759,0.764977,0.762002,0.304147,1
47,0.820186,0.769585,0.767940,0.304147,1
48,0.842842,0.760369,0.757438,0.317972,0
49,0.834727,0.774194,0.768983,0.299539,1
50,0.830065,0.764977,0.759914,0.313364,0
51,0.843499,0.778802,0.773445,0.299539,1
52,0.841048,0.783410,0.777453,0.290323,1
53,0.826849,0.778802,0.771545,0.294931,0
54,0.830451,0.746544,0.747397,0.336406,0
55,0.841028,0.774194,0.767378,0.299539,0
56,0.831183,0.774194,0.771614,0.290323,0
57,0.837807,0.764977,0.762719,0.294931,0
58,0.803740,0.774194,0.763615,0.308756,0
59,0.829561,0.764977,0.757743,0.322581,0
60,0.836276,0.778802,0.777085,0.276498,0
