epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.245138,0.622120,0.603251,0.511521,1
2,0.915391,0.732719,0.707997,0.345622,1
3,0.800876,0.709677,0.614524,0.364055,0
4,0.683476,0.751152,0.682557,0.281106,0
5,0.587542,0.829493,0.821324,0.207373,1
6,0.549193,0.834101,0.826590,0.198157,1
7,0.501425,0.824885,0.810915,0.207373,0
8,0.478802,0.838710,0.839375,0.184332,1
9,0.434622,0.815668,0.814397,0.221198,0
10,0.406850,0.824885,0.825440,0.211982,0
11,0.400279,0.847926,0.853496,0.179724,1
1,1.357053,0.654378,0.551889,0.465438,1
2,0.963758,0.718894,0.703300,0.327189,1
3,0.830024,0.737327,0.724558,0.322581,1
4,0.717393,0.778802,0.743483,0.276498,1
5,0.647217,0.741935,0.688154,0.331797,0
6,0.609535,0.820276,0.805372,0.221198,1
7,0.564971,0.718894,0.665176,0.382488,0
8,0.514258,0.792627,0.787456,0.244240,0
9,0.509760,0.847926,0.844283,0.179724,1
10,0.450139,0.769585,0.784372,0.253456,0
11,0.426665,0.815668,0.816573,0.211982,0
12,0.439642,0.792627,0.762958,0.239631,0
13,0.421023,0.820276,0.820996,0.239631,0
14,0.382109,0.838710,0.837243,0.202765,0
15,0.368917,0.843318,0.842243,0.202765,0
16,0.359966,0.829493,0.827507,0.216590,0
17,0.346101,0.824885,0.826712,0.184332,0
18,0.343619,0.824885,0.823357,0.207373,0
19,0.330765,0.820276,0.816978,0.211982,0
