epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.371792,0.594470,0.526134,0.529954,1
2,0.970668,0.626728,0.645416,0.460829,1
3,0.853214,0.783410,0.761179,0.290323,1
4,0.730615,0.764977,0.764514,0.276498,1
5,0.644256,0.778802,0.768377,0.244240,1
6,0.615528,0.769585,0.771383,0.271889,1
7,0.580767,0.797235,0.791694,0.253456,1
8,0.537340,0.824885,0.820140,0.193548,1
9,0.519310,0.811060,0.802210,0.211982,0
10,0.475932,0.792627,0.805181,0.230415,0
11,0.455236,0.843318,0.845052,0.184332,1
12,0.437934,0.778802,0.779599,0.244240,0
13,0.421352,0.811060,0.818972,0.221198,0
14,0.406003,0.806452,0.794420,0.216590,0
15,0.395845,0.820276,0.825575,0.202765,0
16,0.393965,0.824885,0.824526,0.216590,0
17,0.370817,0.820276,0.815654,0.193548,0
18,0.338822,0.824885,0.825926,0.193548,0
19,0.362028,0.829493,0.830670,0.207373,0
20,0.327939,0.815668,0.813014,0.211982,0
21,0.332797,0.829493,0.835577,0.188940,0
