epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.456391,0.617512,0.544057,0.534562,1
2,1.092659,0.649770,0.616676,0.433180,1
3,0.967020,0.764977,0.744235,0.299539,1
4,0.848462,0.737327,0.726969,0.322581,0
5,0.799400,0.718894,0.727608,0.359447,0
6,0.781534,0.797235,0.780142,0.258065,1
7,0.722345,0.788018,0.782839,0.262673,1
8,0.658835,0.811060,0.799122,0.221198,1
9,0.652190,0.824885,0.805148,0.202765,1
10,0.582339,0.797235,0.796720,0.230415,0
11,0.581628,0.820276,0.815624,0.207373,1
12,0.569537,0.801843,0.795059,0.230415,0
13,0.541329,0.843318,0.838354,0.179724,1
14,0.539407,0.829493,0.834645,0.188940,0
15,0.522205,0.820276,0.808020,0.216590,0
16,0.496447,0.834101,0.831561,0.202765,0
17,0.495773,0.824885,0.821085,0.202765,0
18,0.470345,0.857143,0.856722,0.152074,1
19,0.459717,0.829493,0.827317,0.198157,0
20,0.426951,0.838710,0.836228,0.170507,0
21,0.442372,0.847926,0.850155,0.175115,0
22,0.427580,0.852535,0.852731,0.170507,0
23,0.435610,0.843318,0.847184,0.184332,0
24,0.416048,0.870968,0.875058,0.142857,1
25,0.381587,0.852535,0.854071,0.165899,0
26,0.400072,0.852535,0.848936,0.179724,0
27,0.415385,0.820276,0.813471,0.202765,0
28,0.371218,0.847926,0.846427,0.175115,0
29,0.387517,0.843318,0.847316,0.179724,0
30,0.398219,0.861751,0.856647,0.165899,0
31,0.379776,0.870968,0.877394,0.142857,1
32,0.368903,0.857143,0.867397,0.147465,0
33,0.355839,0.852535,0.856190,0.165899,0
34,0.374764,0.852535,0.854729,0.165899,0
35,0.358523,0.838710,0.845275,0.184332,0
36,0.362293,0.857143,0.855398,0.165899,0
37,0.361672,0.861751,0.863972,0.156682,0
38,0.344293,0.847926,0.851476,0.175115,0
39,0.343741,0.847926,0.848427,0.179724,0
40,0.344244,0.847926,0.850379,0.175115,0
41,0.350508,0.852535,0.860053,0.161290,0
