epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.040904,0.299539,0.092527,1.110599,1
2,1.551205,0.350230,0.306471,1.345622,1
3,1.533107,0.336406,0.192320,1.096774,0
4,1.334983,0.557604,0.505993,0.631336,1
5,1.166990,0.691244,0.668409,0.414747,1
6,1.141565,0.654378,0.556549,0.410138,0
7,1.032634,0.668203,0.624636,0.423963,0
8,1.043142,0.622120,0.602197,0.428571,0
9,0.853164,0.654378,0.540279,0.437788,0
10,0.866094,0.585253,0.477779,0.534562,0
11,0.854607,0.677419,0.624171,0.414747,0
12,0.743849,0.732719,0.701880,0.304147,1
13,0.792455,0.751152,0.707666,0.313364,1
14,0.697741,0.751152,0.708392,0.290323,1
15,0.689238,0.769585,0.755282,0.281106,1
16,0.675143,0.751152,0.741798,0.308756,0
17,0.625877,0.751152,0.705101,0.308756,0
18,0.624550,0.755760,0.755136,0.304147,0
19,0.562567,0.769585,0.757549,0.267281,1
20,0.545839,0.774194,0.747446,0.267281,0
21,0.555939,0.797235,0.779953,0.244240,1
22,0.544545,0.718894,0.717740,0.317972,0
23,0.525004,0.764977,0.760145,0.271889,0
24,0.506648,0.778802,0.778642,0.244240,0
25,0.470456,0.797235,0.785535,0.244240,1
26,0.469145,0.751152,0.738965,0.317972,0
27,0.517235,0.797235,0.786749,0.244240,1
28,0.429371,0.801843,0.798764,0.244240,1
29,0.423115,0.774194,0.773290,0.271889,0
30,0.390754,0.778802,0.763121,0.290323,0
31,0.402792,0.769585,0.741157,0.285714,0
32,0.372761,0.778802,0.766918,0.290323,0
33,0.365243,0.788018,0.775868,0.267281,0
34,0.361210,0.801843,0.789104,0.239631,0
35,0.363038,0.792627,0.776154,0.253456,0
36,0.361361,0.829493,0.822098,0.202765,1
37,0.337262,0.792627,0.783050,0.225806,0
38,0.342808,0.811060,0.808118,0.211982,0
39,0.334172,0.815668,0.805224,0.239631,0
40,0.316624,0.797235,0.794414,0.244240,0
41,0.314456,0.788018,0.776627,0.253456,0
42,0.320930,0.788018,0.774915,0.235023,0
43,0.291729,0.801843,0.795012,0.239631,0
44,0.294770,0.815668,0.810446,0.216590,0
45,0.272273,0.815668,0.807433,0.230415,0
46,0.275583,0.815668,0.806507,0.225806,0
