epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.026661,0.396313,0.327781,0.953917,1
2,1.475279,0.470046,0.310089,0.824885,0
3,1.355876,0.437788,0.399469,0.709677,1
4,1.010665,0.608295,0.569422,0.506912,1
5,1.035300,0.622120,0.536116,0.566820,0
6,0.873990,0.668203,0.630624,0.460829,1
7,0.839398,0.718894,0.692608,0.345622,1
8,0.820062,0.746544,0.695179,0.350230,1
9,0.711456,0.797235,0.779203,0.290323,1
10,0.645482,0.788018,0.788476,0.271889,1
11,0.677974,0.797235,0.781682,0.281106,0
12,0.548977,0.792627,0.768965,0.258065,0
13,0.597255,0.806452,0.805959,0.244240,1
14,0.552348,0.820276,0.781612,0.216590,0
15,0.476724,0.769585,0.755150,0.299539,0
16,0.526981,0.811060,0.811709,0.244240,1
17,0.454088,0.797235,0.790406,0.244240,0
18,0.478211,0.788018,0.772205,0.267281,0
19,0.433976,0.815668,0.791195,0.225806,0
20,0.422489,0.769585,0.775191,0.276498,0
21,0.443742,0.792627,0.792308,0.253456,0
22,0.389236,0.792627,0.795958,0.230415,0
23,0.377789,0.774194,0.769263,0.262673,0
24,0.366120,0.815668,0.789385,0.225806,0
25,0.360667,0.778802,0.757860,0.290323,0
26,0.346494,0.788018,0.768643,0.248848,0
