epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.837925,0.465438,0.390519,0.976959,1
2,1.325706,0.534562,0.455067,0.663594,1
3,1.172694,0.594470,0.568670,0.493088,1
4,0.972796,0.718894,0.713484,0.373272,1
5,0.954413,0.700461,0.689364,0.368664,0
6,0.820845,0.728111,0.707333,0.327189,0
7,0.755359,0.700461,0.693892,0.364055,0
8,0.684679,0.751152,0.736263,0.322581,1
9,0.628908,0.788018,0.797561,0.248848,1
10,0.651961,0.760369,0.758096,0.285714,0
11,0.546436,0.829493,0.837041,0.202765,1
12,0.504028,0.778802,0.791276,0.253456,0
13,0.484138,0.801843,0.804868,0.230415,0
14,0.489392,0.815668,0.790129,0.244240,0
15,0.411221,0.774194,0.741034,0.276498,0
16,0.426220,0.778802,0.777802,0.267281,0
17,0.432252,0.801843,0.787460,0.235023,0
18,0.407384,0.792627,0.791615,0.253456,0
19,0.369399,0.778802,0.773311,0.253456,0
20,0.346612,0.778802,0.778703,0.271889,0
21,0.368214,0.801843,0.790122,0.235023,0
