epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.517763,0.250000,0.080000,0.962500,1
2,1.486734,0.312500,0.095465,0.965625,1
3,1.486053,0.225000,0.073469,1.462500,0
4,1.489925,0.312500,0.095238,0.962500,0
5,1.483639,0.312500,0.095238,0.962500,0
6,1.485676,0.312500,0.095238,0.962500,0
7,1.483368,0.312500,0.095238,0.962500,0
8,1.482145,0.312500,0.095238,0.962500,0
9,1.481543,0.312500,0.095238,0.962500,0
10,1.483067,0.312500,0.095238,0.962500,0
11,1.480438,0.312500,0.095238,0.962500,0
12,1.481102,0.312500,0.095238,0.962500,0
