epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.380144,0.546875,0.477816,0.500000,1
2,1.072313,0.546875,0.391733,0.471875,0
3,0.980755,0.625000,0.508701,0.412500,1
4,0.917406,0.665625,0.628840,0.362500,1
5,0.897521,0.615625,0.522982,0.425000,0
6,0.831855,0.653125,0.619939,0.371875,0
7,0.788380,0.628125,0.588997,0.403125,0
8,0.732040,0.684375,0.628059,0.350000,0
9,0.688751,0.637500,0.588736,0.396875,0
10,0.694282,0.684375,0.623066,0.346875,0
11,0.680434,0.684375,0.628751,0.353125,0
12,0.622469,0.681250,0.584801,0.353125,0
13,0.611849,0.687500,0.590067,0.334375,0
14,0.574578,0.640625,0.558995,0.390625,0
