epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.495432,0.515625,0.438722,0.571875,1
2,1.190161,0.534375,0.424791,0.496875,0
3,1.095456,0.606250,0.531774,0.446875,1
4,1.027056,0.628125,0.588412,0.400000,1
5,0.992649,0.628125,0.526617,0.406250,0
6,0.910226,0.618750,0.558771,0.409375,0
7,0.874757,0.634375,0.594917,0.400000,1
8,0.826609,0.659375,0.607366,0.375000,1
9,0.785387,0.668750,0.622584,0.384375,1
10,0.774014,0.662500,0.565928,0.381250,0
11,0.756765,0.643750,0.599771,0.409375,0
12,0.701070,0.656250,0.585817,0.390625,0
13,0.688524,0.662500,0.587202,0.387500,0
14,0.671508,0.659375,0.573715,0.368750,0
15,0.646249,0.662500,0.608804,0.365625,0
16,0.603469,0.650000,0.559598,0.384375,0
17,0.594589,0.693750,0.617649,0.334375,0
18,0.576619,0.659375,0.608058,0.365625,0
19,0.565379,0.643750,0.604351,0.393750,0
