epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.368526,0.534375,0.382045,0.500000,1
2,1.133131,0.575000,0.500921,0.462500,1
3,1.061849,0.556250,0.454487,0.481250,0
4,1.030306,0.653125,0.570423,0.400000,1
5,0.954112,0.640625,0.531105,0.387500,0
6,0.900243,0.643750,0.551916,0.381250,0
7,0.882907,0.656250,0.563426,0.384375,0
8,0.831970,0.634375,0.540518,0.393750,0
9,0.795985,0.653125,0.569482,0.371875,0
10,0.752947,0.675000,0.578220,0.359375,1
11,0.749113,0.606250,0.497251,0.425000,0
12,0.729134,0.628125,0.569209,0.425000,0
13,0.706074,0.643750,0.557393,0.384375,0
14,0.679991,0.631250,0.560848,0.409375,0
15,0.676439,0.656250,0.555798,0.365625,0
16,0.654446,0.650000,0.562926,0.393750,0
17,0.633102,0.662500,0.557730,0.368750,0
18,0.603199,0.628125,0.543783,0.406250,0
19,0.601573,0.621875,0.542009,0.412500,0
20,0.583531,0.650000,0.619642,0.387500,1
21,0.563512,0.618750,0.544342,0.412500,0
22,0.545732,0.643750,0.577149,0.390625,0
23,0.562392,0.640625,0.578718,0.396875,0
24,0.514060,0.646875,0.558766,0.390625,0
25,0.506749,0.650000,0.577878,0.375000,0
26,0.512604,0.643750,0.575880,0.400000,0
27,0.523132,0.628125,0.562816,0.431250,0
28,0.512943,0.650000,0.584376,0.396875,0
29,0.469499,0.637500,0.544179,0.400000,0
30,0.474785,0.650000,0.557372,0.396875,0
