epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.393016,0.509375,0.337072,0.546875,1
2,1.188149,0.565625,0.495227,0.475000,1
3,1.111937,0.590625,0.495489,0.440625,1
4,1.092125,0.625000,0.545225,0.434375,1
5,1.007692,0.600000,0.503981,0.428125,0
6,0.944132,0.603125,0.521433,0.425000,0
7,0.930497,0.621875,0.548651,0.412500,1
8,0.864811,0.609375,0.559870,0.409375,1
9,0.861732,0.612500,0.530052,0.428125,0
10,0.821976,0.631250,0.546992,0.406250,0
11,0.799956,0.618750,0.556913,0.425000,0
12,0.773016,0.643750,0.620913,0.412500,1
13,0.762766,0.618750,0.530380,0.421875,0
14,0.728107,0.609375,0.555311,0.437500,0
15,0.755185,0.631250,0.579674,0.393750,0
16,0.712225,0.612500,0.589857,0.428125,0
17,0.686040,0.628125,0.594592,0.403125,0
18,0.656262,0.653125,0.632957,0.378125,1
19,0.657072,0.615625,0.533854,0.418750,0
20,0.639538,0.609375,0.528628,0.431250,0
21,0.635816,0.631250,0.588825,0.403125,0
22,0.622866,0.628125,0.585090,0.396875,0
23,0.613324,0.606250,0.571511,0.431250,0
24,0.580936,0.637500,0.600051,0.396875,0
25,0.564866,0.637500,0.587828,0.393750,0
26,0.558367,0.625000,0.592259,0.409375,0
27,0.581092,0.612500,0.552965,0.431250,0
28,0.549210,0.615625,0.554402,0.428125,0
