epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.556101,0.503125,0.347364,0.609375,1
2,1.361573,0.546875,0.469655,0.506250,1
3,1.281870,0.546875,0.483341,0.496875,1
4,1.258255,0.537500,0.463970,0.528125,0
5,1.167022,0.575000,0.491660,0.468750,1
6,1.116908,0.553125,0.484793,0.487500,0
7,1.095242,0.575000,0.506958,0.465625,1
8,1.058019,0.609375,0.530494,0.412500,1
9,1.057560,0.631250,0.543505,0.409375,1
10,0.995168,0.612500,0.523353,0.434375,0
11,0.976820,0.621875,0.549994,0.403125,1
12,0.989919,0.593750,0.549380,0.443750,0
13,0.978371,0.637500,0.543090,0.406250,0
14,0.918830,0.625000,0.565488,0.409375,1
15,0.932586,0.593750,0.535572,0.431250,0
16,0.922871,0.625000,0.563130,0.412500,0
17,0.880077,0.612500,0.531640,0.421875,0
18,0.858178,0.650000,0.571719,0.387500,1
19,0.874313,0.659375,0.566114,0.378125,0
20,0.831283,0.646875,0.571325,0.393750,0
21,0.861039,0.634375,0.550871,0.403125,0
22,0.821320,0.653125,0.554218,0.375000,0
23,0.821673,0.653125,0.578498,0.393750,1
24,0.781411,0.646875,0.574200,0.387500,0
25,0.781953,0.650000,0.563193,0.381250,0
26,0.752235,0.643750,0.548142,0.393750,0
27,0.787928,0.631250,0.540808,0.428125,0
28,0.761078,0.646875,0.550782,0.400000,0
29,0.744868,0.612500,0.526014,0.431250,0
30,0.749130,0.643750,0.550234,0.400000,0
31,0.758878,0.634375,0.562943,0.403125,0
32,0.739061,0.634375,0.561504,0.412500,0
33,0.739527,0.640625,0.550103,0.406250,0
