epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.309964,0.462500,0.368675,0.646875,1
2,1.636625,0.512500,0.412637,0.550000,1
3,1.427776,0.540625,0.436459,0.528125,1
4,1.230162,0.537500,0.477619,0.540625,1
5,1.164375,0.578125,0.459455,0.490625,0
6,1.111121,0.540625,0.471050,0.506250,0
7,1.049941,0.581250,0.513983,0.475000,1
8,0.954271,0.534375,0.460667,0.550000,0
9,0.892906,0.543750,0.472266,0.528125,0
10,0.865043,0.612500,0.523523,0.437500,1
11,0.861991,0.571875,0.496577,0.487500,0
12,0.856323,0.571875,0.494712,0.496875,0
13,0.796456,0.600000,0.512557,0.456250,0
14,0.784331,0.625000,0.534092,0.421875,1
15,0.756215,0.600000,0.509242,0.440625,0
16,0.714517,0.615625,0.536120,0.450000,1
17,0.684698,0.637500,0.547258,0.406250,1
18,0.698295,0.600000,0.518888,0.459375,0
19,0.661628,0.575000,0.499317,0.481250,0
20,0.654717,0.631250,0.546830,0.415625,0
21,0.629448,0.609375,0.527139,0.431250,0
22,0.637445,0.612500,0.520117,0.434375,0
23,0.611738,0.593750,0.512225,0.456250,0
24,0.591492,0.600000,0.515703,0.440625,0
25,0.601626,0.606250,0.521964,0.443750,0
26,0.589090,0.596875,0.516787,0.450000,0
27,0.578429,0.621875,0.527427,0.421875,0
