epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.382176,0.443750,0.354612,0.718750,1
2,1.733025,0.484375,0.420236,0.653125,1
3,1.569304,0.537500,0.437174,0.525000,1
4,1.389896,0.596875,0.518341,0.481250,1
5,1.301226,0.581250,0.531090,0.481250,1
6,1.233155,0.528125,0.453840,0.550000,0
7,1.199127,0.550000,0.482171,0.509375,0
8,1.087928,0.556250,0.481330,0.515625,0
9,1.017343,0.590625,0.518093,0.471875,0
10,0.965132,0.584375,0.509928,0.481250,0
11,0.961695,0.578125,0.505760,0.487500,0
12,0.960252,0.571875,0.499863,0.518750,0
13,0.923113,0.587500,0.504558,0.468750,0
14,0.876638,0.621875,0.537091,0.421875,1
15,0.842514,0.606250,0.518957,0.440625,0
16,0.826064,0.625000,0.537137,0.425000,1
17,0.768232,0.625000,0.535433,0.428125,0
18,0.807687,0.603125,0.518680,0.450000,0
19,0.775246,0.612500,0.529209,0.437500,0
20,0.730227,0.621875,0.536938,0.437500,0
21,0.713743,0.628125,0.541846,0.418750,1
22,0.738557,0.631250,0.541593,0.421875,0
23,0.695633,0.606250,0.518391,0.450000,0
24,0.680931,0.612500,0.526708,0.440625,0
25,0.709462,0.593750,0.512606,0.471875,0
26,0.685160,0.603125,0.522760,0.443750,0
27,0.658433,0.612500,0.520007,0.437500,0
28,0.662036,0.600000,0.517458,0.462500,0
29,0.656172,0.615625,0.531227,0.428125,0
30,0.656964,0.615625,0.529872,0.431250,0
31,0.630373,0.612500,0.526735,0.434375,0
