epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.698626,0.384375,0.317365,0.871875,1
2,2.089604,0.428125,0.368144,0.806250,1
3,1.902340,0.484375,0.412794,0.640625,1
4,1.725273,0.481250,0.411518,0.656250,0
5,1.611412,0.496875,0.441234,0.596875,1
6,1.559618,0.493750,0.427959,0.603125,0
7,1.545302,0.506250,0.440602,0.612500,0
8,1.425364,0.509375,0.423005,0.584375,0
9,1.338004,0.478125,0.430682,0.650000,0
10,1.262407,0.540625,0.483543,0.568750,1
11,1.274364,0.534375,0.479133,0.550000,0
12,1.244293,0.562500,0.502499,0.528125,1
13,1.222791,0.565625,0.499457,0.515625,0
14,1.174728,0.565625,0.500892,0.531250,0
15,1.161545,0.578125,0.514963,0.490625,1
16,1.150539,0.581250,0.519639,0.490625,1
17,1.065497,0.571875,0.508845,0.512500,0
18,1.111515,0.571875,0.513432,0.509375,0
19,1.080068,0.600000,0.535902,0.456250,1
20,1.041365,0.568750,0.489751,0.496875,0
21,1.000077,0.590625,0.506439,0.493750,0
22,1.039969,0.559375,0.478635,0.503125,0
23,0.973571,0.575000,0.516171,0.471875,0
24,0.958813,0.590625,0.531783,0.459375,0
25,0.989788,0.571875,0.505331,0.493750,0
26,0.974371,0.593750,0.510870,0.465625,0
27,0.939002,0.578125,0.486375,0.465625,0
28,0.949983,0.606250,0.543607,0.450000,1
29,0.953028,0.596875,0.514654,0.453125,0
30,0.937064,0.584375,0.520071,0.493750,0
31,0.906515,0.596875,0.515219,0.465625,0
32,0.872967,0.590625,0.507032,0.465625,0
33,0.872163,0.581250,0.500854,0.478125,0
34,0.896640,0.596875,0.515324,0.450000,0
35,0.886021,0.587500,0.508304,0.462500,0
36,0.853996,0.581250,0.503867,0.471875,0
37,0.865100,0.559375,0.481110,0.506250,0
38,0.853363,0.600000,0.517602,0.450000,0
