epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.129385,0.471875,0.315475,0.628125,1
2,1.540181,0.518750,0.460192,0.609375,1
3,1.418674,0.509375,0.360159,0.578125,0
4,1.211601,0.506250,0.427342,0.612500,0
5,1.174565,0.500000,0.434021,0.615625,0
6,1.074900,0.565625,0.489603,0.490625,1
7,1.000658,0.596875,0.521244,0.478125,1
8,0.978239,0.565625,0.485770,0.512500,0
9,0.966580,0.553125,0.484478,0.509375,0
10,0.916162,0.575000,0.496005,0.481250,0
11,0.866613,0.596875,0.507243,0.440625,0
12,0.837792,0.603125,0.516085,0.440625,0
13,0.822411,0.578125,0.498855,0.475000,0
14,0.780987,0.571875,0.479550,0.478125,0
15,0.767313,0.546875,0.474857,0.512500,0
16,0.764880,0.568750,0.488963,0.496875,0
17,0.705986,0.603125,0.509276,0.434375,0
