epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.159161,0.421875,0.309545,0.725000,1
2,1.643659,0.475000,0.381468,0.681250,1
3,1.491313,0.500000,0.351823,0.587500,0
4,1.331569,0.540625,0.435420,0.565625,1
5,1.291597,0.534375,0.454191,0.565625,1
6,1.192974,0.584375,0.500120,0.509375,1
7,1.108129,0.565625,0.495355,0.493750,0
8,1.081363,0.568750,0.488454,0.518750,0
9,1.061011,0.618750,0.538000,0.450000,1
10,1.005587,0.556250,0.484600,0.500000,0
11,0.989846,0.596875,0.511894,0.440625,0
12,0.969972,0.603125,0.517874,0.446875,0
13,0.952057,0.568750,0.491868,0.503125,0
14,0.899233,0.556250,0.459533,0.515625,0
15,0.885156,0.568750,0.491997,0.487500,0
16,0.897561,0.584375,0.488659,0.481250,0
17,0.841938,0.596875,0.503971,0.453125,0
18,0.843818,0.575000,0.500512,0.493750,0
19,0.812368,0.615625,0.517141,0.440625,0
