epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.419972,0.365625,0.314142,0.884375,1
2,1.942777,0.390625,0.341697,0.821875,1
3,1.770848,0.443750,0.362912,0.706250,1
4,1.590084,0.446875,0.395244,0.715625,1
5,1.560157,0.462500,0.408178,0.700000,1
6,1.481280,0.468750,0.403813,0.662500,0
7,1.401101,0.521875,0.462784,0.559375,1
8,1.349197,0.484375,0.421201,0.637500,0
9,1.299934,0.509375,0.440398,0.606250,0
10,1.243484,0.521875,0.451362,0.581250,0
11,1.264880,0.568750,0.489035,0.521875,1
12,1.227786,0.534375,0.457781,0.568750,0
13,1.255134,0.500000,0.435498,0.621875,0
14,1.181876,0.528125,0.439823,0.587500,0
15,1.140039,0.559375,0.484274,0.518750,0
16,1.180730,0.568750,0.480612,0.521875,0
17,1.092705,0.543750,0.467476,0.568750,0
18,1.126190,0.515625,0.447515,0.581250,0
19,1.081095,0.550000,0.484256,0.546875,0
20,1.052588,0.553125,0.488488,0.556250,0
21,1.053623,0.559375,0.480033,0.543750,0
