epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.358459,0.525000,0.429516,0.528125,1
2,1.109231,0.562500,0.364767,0.459375,0
3,1.051017,0.587500,0.473884,0.459375,1
4,0.999966,0.621875,0.501944,0.406250,1
5,0.935765,0.581250,0.487767,0.450000,0
6,0.891357,0.634375,0.543783,0.403125,1
7,0.843966,0.650000,0.587732,0.381250,1
8,0.823293,0.659375,0.637784,0.375000,1
9,0.799602,0.668750,0.602608,0.353125,0
10,0.774758,0.693750,0.593260,0.325000,0
11,0.747951,0.615625,0.566710,0.406250,0
12,0.739625,0.693750,0.654180,0.321875,1
13,0.712775,0.678125,0.624111,0.350000,0
14,0.675398,0.646875,0.627800,0.387500,0
15,0.663265,0.665625,0.578763,0.346875,0
16,0.667768,0.662500,0.559819,0.353125,0
17,0.605425,0.612500,0.512784,0.415625,0
18,0.594445,0.628125,0.563217,0.396875,0
19,0.554246,0.646875,0.563225,0.384375,0
20,0.561587,0.656250,0.567649,0.375000,0
21,0.520342,0.668750,0.582685,0.365625,0
22,0.529694,0.690625,0.618942,0.334375,0
