epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.330163,0.568750,0.466541,0.465625,1
2,1.098035,0.546875,0.356566,0.481250,0
3,1.057150,0.618750,0.545454,0.431250,1
4,1.002704,0.631250,0.513808,0.400000,0
5,0.923794,0.628125,0.523850,0.403125,0
6,0.882663,0.606250,0.504570,0.425000,0
7,0.846467,0.640625,0.527434,0.371875,0
8,0.801300,0.637500,0.605547,0.390625,1
9,0.770297,0.678125,0.591329,0.340625,0
10,0.746642,0.631250,0.527351,0.390625,0
11,0.717068,0.653125,0.608600,0.375000,1
12,0.699832,0.687500,0.661578,0.334375,1
13,0.678946,0.640625,0.597089,0.390625,0
14,0.650996,0.687500,0.640577,0.328125,0
15,0.621715,0.678125,0.581729,0.331250,0
16,0.616859,0.646875,0.594513,0.371875,0
17,0.579065,0.643750,0.542365,0.375000,0
18,0.591052,0.646875,0.612857,0.378125,0
19,0.530591,0.618750,0.586821,0.434375,0
20,0.515249,0.637500,0.581463,0.396875,0
21,0.500186,0.662500,0.601629,0.359375,0
22,0.509608,0.656250,0.613213,0.371875,0
