epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.383411,0.537500,0.474532,0.562500,1
2,1.186557,0.512500,0.311596,0.528125,0
3,1.151606,0.575000,0.500125,0.468750,1
4,1.101596,0.593750,0.514531,0.453125,1
5,1.040149,0.515625,0.477202,0.528125,0
6,1.009586,0.618750,0.583217,0.421875,1
7,0.942276,0.643750,0.548129,0.378125,0
8,0.930460,0.631250,0.578108,0.390625,0
9,0.886359,0.609375,0.554681,0.434375,0
10,0.891572,0.615625,0.563848,0.437500,0
11,0.853380,0.631250,0.591430,0.400000,1
12,0.830693,0.634375,0.594503,0.396875,1
13,0.796328,0.628125,0.569892,0.403125,0
14,0.756226,0.668750,0.639116,0.356250,1
15,0.762514,0.625000,0.566452,0.406250,0
16,0.750816,0.646875,0.589118,0.368750,0
17,0.696166,0.637500,0.587672,0.381250,0
18,0.710077,0.643750,0.609882,0.396875,0
19,0.643610,0.634375,0.594177,0.425000,0
20,0.643948,0.650000,0.563889,0.387500,0
21,0.642927,0.656250,0.610480,0.365625,0
22,0.616016,0.668750,0.633288,0.362500,0
23,0.612436,0.643750,0.586075,0.378125,0
24,0.607433,0.625000,0.581237,0.406250,0
