epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.480221,0.359375,0.167862,0.862500,1
2,1.397337,0.453125,0.290005,0.628125,1
3,1.283449,0.478125,0.370885,0.634375,1
4,1.187291,0.521875,0.398521,0.568750,1
5,1.145840,0.540625,0.436802,0.506250,1
6,1.091013,0.615625,0.500751,0.421875,1
7,1.058232,0.590625,0.450860,0.434375,0
8,1.047785,0.609375,0.491378,0.431250,0
9,1.022948,0.625000,0.543671,0.403125,1
10,0.983683,0.621875,0.539554,0.406250,0
11,0.954521,0.631250,0.552227,0.400000,1
12,0.966699,0.637500,0.548384,0.387500,0
13,0.936355,0.609375,0.530123,0.431250,0
14,0.909183,0.634375,0.546920,0.387500,0
15,0.891907,0.634375,0.552648,0.390625,1
16,0.872910,0.646875,0.560799,0.387500,1
17,0.856089,0.643750,0.545606,0.390625,0
18,0.856136,0.631250,0.561605,0.406250,1
19,0.846128,0.628125,0.537255,0.400000,0
20,0.785567,0.656250,0.567057,0.371875,1
21,0.797516,0.621875,0.550281,0.415625,0
22,0.783592,0.634375,0.562345,0.400000,0
23,0.759447,0.634375,0.543612,0.406250,0
24,0.752432,0.650000,0.554277,0.387500,0
25,0.730458,0.643750,0.606176,0.390625,1
26,0.741661,0.637500,0.547344,0.390625,0
27,0.711355,0.625000,0.562968,0.406250,0
28,0.719690,0.603125,0.523707,0.434375,0
29,0.702399,0.615625,0.552123,0.421875,0
30,0.703113,0.621875,0.556545,0.418750,0
31,0.714817,0.615625,0.554982,0.421875,0
32,0.698436,0.621875,0.555299,0.415625,0
33,0.696446,0.612500,0.548904,0.425000,0
34,0.666361,0.631250,0.562436,0.403125,0
35,0.680348,0.612500,0.552395,0.425000,0
